t,S,I,R,D,beta,gamma,mu,R0
0.0,5991741.0,5681.6177,1732.5831,318.284,0.00049389526,0.006533295,0.0022586554,0.056175847
1.0,5991687.5,5707.1704,1811.3267,332.82303,0.00077487156,0.00660336,0.002248767,0.08753507
2.0,5991632.5,5732.407,1889.3232,347.3917,0.0010588877,0.0066744685,0.0022388995,0.11879771
3.0,5991576.0,5757.339,1966.5314,361.99142,0.0013461225,0.0067466497,0.0022290528,0.14997405
4.0,5991518.5,5781.97,2042.9961,376.62106,0.0016365163,0.0068199188,0.002219224,0.18104772
5.0,5991459.5,5806.2876,2118.7627,391.27966,0.0019301884,0.0068942904,0.002209413,0.21202233
6.0,5991399.0,5830.316,2193.7874,405.9675,0.0022271387,0.0069697946,0.002199623,0.2428877
7.0,5991337.0,5854.0776,2268.2078,420.68552,0.0025273673,0.0070464313,0.002189851,0.2736347
8.0,5991273.5,5877.533,2341.883,435.43103,0.0028309338,0.0071242303,0.0021801025,0.30425975
9.0,5991208.5,5900.7305,2414.893,450.20462,0.0031378977,0.0072032064,0.002170372,0.33475986
10.0,5991142.0,5923.6865,2487.342,465.00717,0.003448289,0.0072833747,0.0021606626,0.36512867
11.0,5991073.5,5946.3853,2559.1277,479.83765,0.0037621371,0.007364765,0.0021509707,0.39535958
12.0,5991004.0,5968.8276,2630.3955,494.69287,0.0040794723,0.007447377,0.002141303,0.42544672
13.0,5990932.5,5991.052,2701.1233,509.57916,0.004400354,0.0075312555,0.0021316558,0.45538592
14.0,5990859.0,6013.0576,2771.2761,524.4905,0.0047248118,0.0076164007,0.0021220297,0.4851718
15.0,5990784.5,6034.8467,2840.9045,539.42804,0.0050529055,0.0077028573,0.0021124214,0.5148
16.0,5990708.0,6056.429,2910.0952,554.3935,0.005384635,0.00779061,0.002102837,0.54426277
17.0,5990630.0,6077.826,2978.7751,569.3845,0.00572009,0.007879719,0.0020932734,0.57355803
18.0,5990550.0,6099.0625,3047.0835,584.402,0.0060592405,0.007970169,0.0020837337,0.60267544
19.0,5990468.0,6120.1187,3114.987,599.44635,0.006402176,0.008062005,0.0020742149,0.6316138
20.0,5990384.5,6141.057,3182.517,614.5164,0.0067489557,0.0081552565,0.0020647168,0.6603692
21.0,5990299.0,6161.833,3249.686,629.61194,0.00709955,0.008249909,0.0020552427,0.6889322
22.0,5990212.0,6182.5146,3316.5579,644.7349,0.0074540786,0.008346021,0.0020457895,0.71730316
23.0,5990122.5,6203.086,3383.2004,659.88293,0.007812541,0.008443594,0.002036357,0.74547493
24.0,5990031.5,6223.573,3449.5547,675.0574,0.008174967,0.008542672,0.0020269514,0.7734398
25.0,5989938.0,6243.9907,3515.6763,690.2567,0.008541416,0.00864327,0.0020175637,0.801196
26.0,5989843.0,6264.3965,3581.6624,705.4839,0.008911949,0.008745402,0.0020082027,0.8287406
27.0,5989746.0,6284.745,3647.4592,720.7376,0.009286564,0.008849099,0.0019988627,0.85606533
28.0,5989646.5,6305.1025,3713.2646,736.0169,0.009665322,0.008954376,0.0019895465,0.883168
29.0,5989545.0,6325.4785,3778.9172,751.3245,0.010048252,0.009061292,0.001980257,0.91004
30.0,5989441.5,6345.8804,3844.575,766.659,0.010435443,0.009169832,0.0019709857,0.93668556
31.0,5989336.0,6366.3926,3910.2327,782.02075,0.010826837,0.009280056,0.001961741,0.9630878
32.0,5989228.5,6386.9395,3975.941,797.4109,0.011222582,0.0093919635,0.00195252,0.9892546
33.0,5989118.0,6407.6484,4041.7273,812.82886,0.011622649,0.009505585,0.0019433231,1.0151753
34.0,5989006.0,6428.493,4107.712,828.2773,0.012027096,0.009620979,0.0019341499,1.0408448
35.0,5988891.5,6449.5146,4173.776,843.7534,0.012435954,0.009738117,0.0019250006,1.0662632
36.0,5988774.5,6470.711,4240.1025,859.2612,0.012849312,0.009857088,0.001915878,1.0914253
37.0,5988655.0,6492.1826,4306.6855,874.7991,0.013267171,0.009977877,0.0019067765,1.1163279
38.0,5988533.5,6513.9175,4373.615,890.3694,0.013689499,0.010100529,0.0018977016,1.1409599
39.0,5988409.5,6535.957,4440.878,905.97174,0.014116418,0.0102250725,0.0018886536,1.1653242
