train_size,test_size,model1_I_RMSE,model1_I_MAE,model1_D_RMSE,model1_D_MAE,model1_beta,model1_gamma,model1_mu,model1_R0,model2_I_RMSE,model2_I_MAE,model2_D_RMSE,model2_D_MAE,model2_beta_mean,model2_gamma_mean,model2_mu_mean,model2_R0_mean,model1_test_I_RMSE,model1_test_D_RMSE,model2_test_I_RMSE,model2_test_D_RMSE
120,249,40896.38027992209,27888.9921875,4110.209483712479,2828.548583984375,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624,25217.20047903811,16532.498046875,2309.463465829239,1768.033203125,0.02028148,0.013358197,0.0014534501,1.2397368,49784.97893943514,5003.535350129946,30696.831888649354,2811.218952696499
150,219,33536.11832040196,22037.267578125,2252.016096745314,1337.9000244140625,0.05285862868500191,0.037331331187590966,0.008135134774419517,1.1625849418155338,3480.587450416955,2517.261474609375,5596.7240417944495,4050.556640625,0.034481972,0.032280084,0.0010765563,1.076162,43531.31029500491,2923.193117123807,4464.309577079081,7261.57200611548
180,189,14114.169334395843,9417.580078125,728.8358011239569,359.2188415527344,0.0520910733999263,0.03858553392265268,0.006972966545548909,1.1433886731255398,5243.192157455227,3545.290771484375,1394.6317166191222,927.46875,0.0321425,0.028928105,0.0023384911,1.0244827,19710.496695923215,1018.2510434563767,7215.17234721389,1941.341288903113
200,169,4704.224909589251,2997.089111328125,644.6182736705499,276.5714416503906,0.0389686387052271,0.029732740067470786,0.00440012645337573,1.1416749507817385,14442.926573239927,9265.740234375,3841.81636729295,2335.416748046875,0.034585755,0.02880388,0.0021586649,1.1378924,6905.671002878721,952.0574759435483,21273.72238231946,5674.939647256171
220,149,6026.786540105763,3754.9228515625,944.4756812644781,451.6551208496094,0.034850963656609446,0.029551039530197054,0.003663775685060766,1.049259597885706,5352.672043008052,3821.2939453125,878.2521349248176,430.5544128417969,0.048266094,0.046815835,0.001033574,1.1519941,9435.847391729054,1485.566558589685,8182.589321235669,1374.463850015707
