t,S,I,R,D,beta,gamma,mu,R0
54.0,5985783.5,7001.3525,5403.46,993.25635,0.024273377,0.014040679,0.0033354105,1.3969413
55.0,5985615.0,7035.952,5492.116,1009.8514,0.024767738,0.014184833,0.0033875646,1.4094683
56.0,5985443.0,7071.7993,5582.1772,1026.6536,0.025265645,0.014331102,0.0034397214,1.4217488
57.0,5985267.5,7108.9707,5673.7783,1043.6692,0.0257671,0.014479488,0.0034917952,1.433793
58.0,5985088.0,7147.541,5766.9346,1060.9045,0.02627213,0.0146300495,0.0035437078,1.445608
59.0,5984905.0,7187.6436,5861.725,1078.3702,0.026780646,0.014782816,0.003595364,1.457198
60.0,5984718.5,7229.3174,5958.237,1096.0712,0.02729271,0.014937818,0.0036466718,1.4685746
61.0,5984527.5,7272.6904,6056.4575,1114.0172,0.02780823,0.015095085,0.0036975145,1.4797437
62.0,5984333.0,7317.838,6156.515,1132.2144,0.028327238,0.015254632,0.003747791,1.4907172
63.0,5984134.0,7364.8643,6258.477,1150.6714,0.028849673,0.015416518,0.0037973763,1.5015005
64.0,5983930.5,7413.9014,6362.4575,1169.3997,0.029375535,0.015580773,0.0038461478,1.5121045
65.0,5983723.0,7465.0146,6468.385,1188.4012,0.029904794,0.015747398,0.0038939626,1.5225419
66.0,5983511.0,7518.3574,6576.484,1207.688,0.030437421,0.015916452,0.0039406777,1.5328208
67.0,5983294.0,7574.0513,6686.797,1227.2673,0.030973386,0.01608798,0.003986147,1.5429507
68.0,5983072.0,7632.205,6799.33,1247.1445,0.0315126,0.01626198,0.004030204,1.5529428
69.0,5982845.5,7692.9517,6914.2456,1267.3326,0.03205509,0.0164385,0.0040726843,1.5628104
70.0,5982613.5,7756.444,7031.5654,1287.8363,0.0326008,0.016617581,0.004113412,1.5725634
71.0,5982376.5,7822.8164,7151.3926,1308.6658,0.03314967,0.016799241,0.0041522025,1.5822141
72.0,5982134.0,7892.2275,7273.7856,1329.8274,0.03370164,0.016983539,0.0041888626,1.5917722
73.0,5981885.5,7964.83,7398.8984,1351.3291,0.03425665,0.017170474,0.0042232038,1.601251
74.0,5981631.5,8040.7715,7526.778,1373.1803,0.034814667,0.017360091,0.0042550117,1.6106639
75.0,5981371.5,8120.244,7657.543,1395.3865,0.035375666,0.017552435,0.00428409,1.6200227
76.0,5981105.5,8203.423,7791.267,1417.958,0.035939526,0.017747506,0.0043102205,1.6293395
77.0,5980832.5,8290.462,7928.0347,1440.903,0.036506157,0.017945379,0.004333189,1.6386223
78.0,5980553.0,8381.606,8067.959,1464.2245,0.03707553,0.018146038,0.0043527815,1.6478878
79.0,5980267.0,8477.049,8211.203,1487.9357,0.037647527,0.018349543,0.0043687853,1.6571434
80.0,5979973.5,8576.953,8357.867,1512.0403,0.038222086,0.018555924,0.0043809833,1.666401
81.0,5979673.0,8681.598,8507.995,1536.5468,0.038799148,0.018765196,0.00438917,1.675673
82.0,5979364.5,8791.184,8661.796,1561.4602,0.039378535,0.018977404,0.0043931487,1.6849638
83.0,5979048.0,8905.945,8819.397,1586.791,0.039960247,0.019192547,0.004392728,1.6942879
84.0,5978723.5,9026.141,8980.8955,1612.5415,0.040544074,0.019410685,0.0043877247,1.7036463
85.0,5978390.0,9152.016,9146.491,1638.7228,0.041129988,0.019631818,0.004377985,1.7130498
86.0,5978048.0,9283.871,9316.335,1665.3356,0.04171778,0.019855976,0.004363358,1.722499
87.0,5977696.5,9421.966,9490.593,1692.3881,0.04230736,0.020083189,0.004343727,1.7319975
88.0,5977335.5,9566.605,9669.4,1719.8861,0.042898607,0.020313457,0.0043189973,1.7415482
89.0,5976964.0,9718.072,9853.03,1747.8346,0.043491375,0.020546824,0.0042890967,1.7511481
90.0,5976582.5,9876.719,10041.666,1776.2382,0.044085454,0.020783305,0.0042539923,1.7607912
91.0,5976189.5,10042.863,10235.451,1805.0988,0.044680785,0.021022886,0.004213682,1.7704779
92.0,5975785.0,10216.846,10434.729,1834.4246,0.04527704,0.021265611,0.0041682064,1.7801905
93.0,5975368.5,10399.039,10639.696,1864.2157,0.04587419,0.021511465,0.004117638,1.7899257
94.0,5974939.0,10589.8,10850.649,1894.4762,0.046471935,0.021760479,0.0040620924,1.7996634
95.0,5974496.5,10789.531,11067.836,1925.2068,0.047070127,0.022012636,0.0040017306,1.8093897
96.0,5974040.0,10998.631,11291.577,1956.4135,0.047668528,0.022267938,0.003936756,1.8190836
97.0,5973569.0,11217.539,11522.285,1988.0933,0.04826693,0.022526398,0.0038674057,1.8287219
98.0,5973082.5,11446.662,11760.213,2020.2513,0.04886506,0.022787988,0.003793964,1.8382796
99.0,5972580.0,11686.482,12005.822,2052.8853,0.049462687,0.023052722,0.003716758,1.8477268
100.0,5972060.0,11937.451,12259.463,2085.9956,0.050059568,0.023320556,0.0036361367,1.8570367
101.0,5971522.5,12200.068,12521.612,2119.5828,0.050655376,0.023591489,0.0035524906,1.8661735
102.0,5970966.0,12474.821,12792.711,2153.6433,0.051249843,0.023865461,0.0034662336,1.8751067
103.0,5970389.5,12762.256,13073.355,2188.1792,0.05184261,0.024142474,0.0033777952,1.8837974
104.0,5969792.0,13062.889,13363.952,2223.1833,0.052433383,0.024422467,0.0032876313,1.892212
105.0,5969172.5,13377.301,13665.21,2258.6543,0.05302186,0.024705395,0.003196186,1.9003174
