t,S,I,R,D,beta,gamma,mu,R0
0.0,5993889.5,4963.9336,1277.2948,133.83334,0.018883001,0.010711223,0.0046738805,1.2273561
1.0,5993753.0,4987.2544,1357.193,155.58444,0.019070875,0.010761559,0.0046126842,1.2404431
2.0,5993615.5,5011.4893,1436.7928,177.207,0.01925845,0.010812193,0.0045524063,1.25343
3.0,5993478.0,5036.6465,1516.1052,198.70113,0.01944564,0.01086314,0.004493028,1.2663081
4.0,5993340.0,5062.736,1595.1401,220.06587,0.01963247,0.01091437,0.0044345497,1.2790782
5.0,5993202.0,5089.7524,1673.9086,241.30083,0.019818913,0.0109659135,0.004376948,1.2917352
6.0,5993063.0,5117.7124,1752.425,262.4059,0.02000497,0.01101777,0.004320219,1.3042759
7.0,5992924.0,5146.613,1830.6987,283.38092,0.020190608,0.011069909,0.004264343,1.3166999
8.0,5992784.0,5176.4653,1908.746,304.22607,0.02037583,0.011122361,0.004209316,1.329002
9.0,5992644.0,5207.2715,1986.5741,324.94006,0.020560633,0.011175126,0.004155123,1.3411806
10.0,5992503.5,5239.042,2064.1997,345.52386,0.02074496,0.011228189,0.0041017504,1.3532318
11.0,5992362.5,5271.7725,2141.6406,365.97772,0.020928841,0.011281565,0.004049194,1.3651537
12.0,5992221.0,5305.4727,2218.9,386.3004,0.021112215,0.011335254,0.0039974363,1.3769414
13.0,5992078.5,5340.1494,2296.0059,406.49344,0.021295171,0.011389241,0.0039464654,1.3886006
14.0,5991936.0,5375.8086,2372.9653,426.55597,0.021477561,0.01144354,0.0038962753,1.4001186
15.0,5991793.0,5412.4507,2449.7983,446.4895,0.021659445,0.011498138,0.003846854,1.4114993
16.0,5991649.0,5450.0815,2526.5205,466.29333,0.021840762,0.011553064,0.0037981898,1.4227347
17.0,5991504.5,5488.7056,2603.1487,485.9687,0.022021573,0.011608288,0.0037502707,1.4338307
18.0,5991359.5,5528.3296,2679.7026,505.51627,0.022201817,0.011663824,0.0037030876,1.4447807
19.0,5991213.5,5568.9604,2756.1946,524.9354,0.022381496,0.011719674,0.0036566318,1.4555835
20.0,5991067.5,5610.599,2832.6455,544.2278,0.022560548,0.011775836,0.003610891,1.4662343
21.0,5990920.0,5653.249,2909.0806,563.39465,0.022739004,0.011832297,0.003565854,1.4767361
22.0,5990772.5,5696.919,2985.5154,582.43646,0.022916805,0.011889085,0.003521514,1.4870807
23.0,5990624.0,5741.611,3061.9658,601.3538,0.02309398,0.0119461715,0.0034778595,1.4972726
24.0,5990474.5,5787.3325,3138.462,620.1483,0.023270499,0.012003586,0.0034348816,1.5073063
25.0,5990324.5,5834.0894,3215.0183,638.8208,0.023446333,0.012061313,0.0033925653,1.5171812
26.0,5990173.5,5881.883,3291.664,657.37274,0.02362151,0.012119338,0.0033509105,1.5268992
27.0,5990021.5,5930.7188,3368.4167,675.8054,0.023795974,0.012177676,0.0033099025,1.5364554
28.0,5989869.0,5980.6045,3445.3025,694.1203,0.023969661,0.012236342,0.0032695325,1.5458438
29.0,5989715.0,6031.546,3522.3457,712.3189,0.024142634,0.012295306,0.003229788,1.5550717
30.0,5989560.5,6083.549,3599.5732,730.40326,0.024314862,0.012354583,0.0031906634,1.5641348
31.0,5989405.0,6136.6167,3677.0107,748.3747,0.024486315,0.012414187,0.003152153,1.5730296
32.0,5989248.5,6190.7593,3754.6863,766.2349,0.024656933,0.01247409,0.0031142414,1.5817558
33.0,5989091.0,6245.9805,3832.62,783.98645,0.024826776,0.012534291,0.0030769228,1.5903169
34.0,5988932.5,6302.29,3910.8499,801.6315,0.024995785,0.012594819,0.0030401887,1.5987062
35.0,5988772.5,6359.692,3989.4006,819.1715,0.02516393,0.0126556605,0.0030040324,1.6069235
36.0,5988611.5,6418.1953,4068.3032,836.6095,0.02533121,0.0127168,0.0029684424,1.614971
37.0,5988449.5,6477.81,4147.5884,853.9474,0.025497597,0.012778252,0.0029334098,1.6228453
38.0,5988286.0,6538.546,4227.29,871.18823,0.025663119,0.012840033,0.0028989285,1.6305473
39.0,5988121.5,6600.408,4307.4414,888.3345,0.025827687,0.012902096,0.0028649897,1.6380761
40.0,5987955.5,6663.412,4388.077,905.3893,0.025991332,0.012964472,0.0028315873,1.6454314
41.0,5987788.5,6727.567,4469.2314,922.3549,0.026153993,0.013027161,0.0027987093,1.65261
42.0,5987619.5,6792.8794,4550.9463,939.2349,0.02631567,0.013090149,0.0027663528,1.659614
43.0,5987449.5,6859.367,4633.2485,956.0324,0.026476365,0.013153449,0.0027345063,1.6664425
44.0,5987277.5,6927.044,4716.19,972.7509,0.026636016,0.013217047,0.002703163,1.6730944
45.0,5987104.0,6995.921,4799.8,989.3942,0.026794624,0.013280928,0.0026723177,1.6795719
46.0,5986929.0,7066.0176,4884.129,1005.9652,0.026952218,0.013345137,0.002641961,1.685873
47.0,5986752.5,7137.3486,4969.218,1022.468,0.02710874,0.013409644,0.0026120842,1.6919985
48.0,5986574.0,7209.934,5055.111,1038.9072,0.0272641,0.013474435,0.0025826811,1.6979451
49.0,5986393.5,7283.79,5141.8535,1055.2863,0.027418386,0.013539538,0.002553746,1.703716
50.0,5986211.5,7358.9365,5229.4937,1071.6102,0.02757148,0.013604924,0.00252527,1.7093086
51.0,5986027.5,7435.3994,5318.084,1087.8824,0.027723443,0.0136705935,0.00249725,1.7147273
52.0,5985841.0,7513.204,5407.6763,1104.109,0.027874243,0.013736561,0.0024696768,1.7199699
53.0,5985652.5,7592.373,5498.3213,1120.2937,0.02802379,0.013802826,0.0024425418,1.7250326
54.0,5985462.0,7672.934,5590.0796,1136.4424,0.028172087,0.013869375,0.002415842,1.7299179
55.0,5985269.0,7754.918,5683.0015,1152.5597,0.028319191,0.013936207,0.0023895681,1.7346307
56.0,5985073.5,7838.3604,5777.155,1168.6517,0.028465014,0.0140033215,0.0023637116,1.7391676
57.0,5984875.5,7923.292,5872.6,1184.7238,0.028609555,0.0140707195,0.0023382723,1.7435292
58.0,5984675.0,8009.751,5969.4,1200.7821,0.028752726,0.014138386,0.0023132383,1.7477136
59.0,5984471.5,8097.777,6067.6255,1216.8326,0.028894585,0.01420632,0.0022886067,1.7517257
