S,I,R,D
385.735122,16.453337,569.344325,28.467216
385.100459,16.051439,570.331525,28.516576
384.482317,15.658340,571.294612,28.564731
383.880282,15.273900,572.234112,28.611706
383.293947,14.897980,573.150546,28.657527
382.722916,14.530437,574.044425,28.702221
382.166803,14.171133,574.916251,28.745813
381.625229,13.819925,575.766519,28.788326
381.097826,13.476673,576.595715,28.829786
380.584233,13.141236,577.404315,28.870216
380.084098,12.813473,578.192789,28.909639
379.597079,12.493244,578.961598,28.948080
379.122839,12.180409,579.711192,28.985560
378.661052,11.874831,580.442017,29.022101
378.211398,11.576370,581.154507,29.057725
377.773567,11.284890,581.849089,29.092454
377.347253,11.000255,582.526182,29.126309
376.932162,10.722331,583.186198,29.159310
376.528003,10.450983,583.829537,29.191477
376.134494,10.186080,584.456596,29.222830
375.751360,9.927491,585.067761,29.253388
375.378333,9.675085,585.663411,29.283171
375.015152,9.428737,586.243916,29.312196
374.661560,9.188318,586.809640,29.340482
374.317309,8.953705,587.360939,29.368047
373.982156,8.724774,587.898161,29.394908
373.655865,8.501405,588.421648,29.421082
373.338205,8.283476,588.931732,29.446587
373.028951,8.070871,589.428741,29.471437
372.727884,7.863473,589.912993,29.495650
372.434791,7.661168,590.384801,29.519240
372.149462,7.463843,590.844471,29.542224
371.871696,7.271387,591.292302,29.564615
371.601294,7.083692,591.728585,29.586429
371.338063,6.900650,592.153607,29.607680
371.081815,6.722157,592.567646,29.628382
370.832368,6.548108,592.970975,29.648549
370.589543,6.378402,593.363862,29.668193
370.353166,6.212940,593.746566,29.687328
370.123068,6.051623,594.119342,29.705967
369.899084,5.894355,594.482440,29.724122
369.681052,5.741042,594.836101,29.741805
369.468816,5.591592,595.180563,29.759028
369.262225,5.445914,595.516059,29.775803
369.061128,5.303918,595.842814,29.792141
368.865381,5.165518,596.161049,29.808052
368.674842,5.030629,596.470980,29.823549
368.489376,4.899166,596.772818,29.838641
368.308847,4.771047,597.066768,29.853338
368.133125,4.646193,597.353030,29.867652
367.962083,4.524525,597.631802,29.881590
367.795598,4.405965,597.903273,29.895164
367.633548,4.290439,598.167631,29.908382
367.475817,4.177872,598.425058,29.921253
367.322291,4.068193,598.675730,29.933787
367.172857,3.961330,598.919822,29.945991
367.027408,3.857216,599.157501,29.957875
366.885837,3.755782,599.388934,29.969447
366.748043,3.656962,599.614281,29.980714
366.613924,3.560692,599.833699,29.991685
366.483385,3.466908,600.047340,30.002367
366.356328,3.375549,600.255355,30.012768
366.232663,3.286555,600.457888,30.022894
366.112298,3.199866,600.655081,30.032754
365.995147,3.115426,600.847073,30.042354
365.881124,3.033177,601.033999,30.051700
365.770146,2.953065,601.215989,30.060799
365.662132,2.875036,601.393173,30.069659
365.557003,2.799038,601.565675,30.078284
365.454682,2.725020,601.733618,30.086681
365.355095,2.652930,601.897119,30.094856
365.258168,2.582722,602.056295,30.102815
365.163832,2.514347,602.211258,30.110563
365.072018,2.447758,602.362119,30.118106
364.982657,2.382910,602.508984,30.125449
364.895685,2.319758,602.651959,30.132598
364.811038,2.258261,602.791144,30.139557
364.728654,2.198374,602.926640,30.146332
364.648473,2.140057,603.058542,30.152927
364.570436,2.083271,603.186946,30.159347
364.494486,2.027975,603.311942,30.165597
364.420568,1.974131,603.433621,30.171681
364.348626,1.921702,603.552068,30.177603
364.278609,1.870652,603.667371,30.183369
364.210465,1.820944,603.779610,30.188980
364.144145,1.772546,603.888866,30.194443
364.079599,1.725421,603.995219,30.199761
364.016779,1.679539,604.098744,30.204937
363.955641,1.634866,604.199517,30.209976
363.896140,1.591371,604.297609,30.214880
363.838230,1.549024,604.393091,30.219655
363.781871,1.507795,604.486032,30.224302
363.727020,1.467655,604.576500,30.228825
363.673637,1.428575,604.664559,30.233228
363.621684,1.390529,604.750274,30.237514
