t,S,I,R,D,beta,gamma,mu,R0
54.0,60428300.0,29291.186,2821.061,3326.5034,0.109070495,0.012076303,0.013392669,4.282485
55.0,60424904.0,31839.902,3231.2502,3722.116,0.10576852,0.012304559,0.013035026,4.174043
56.0,60421324.0,34508.08,3681.8608,4143.0356,0.10252954,0.012537017,0.012685284,4.065035
57.0,60417570.0,37288.414,4174.087,4589.0957,0.09935351,0.012773722,0.01234335,3.9556165
58.0,60413640.0,40171.836,4708.9917,5059.8965,0.096240416,0.013014764,0.012009138,3.8459396
59.0,60409550.0,43147.785,5287.6133,5554.8193,0.09318997,0.013260171,0.011682535,3.7361612
60.0,60405316.0,46203.76,5910.875,6072.983,0.0902022,0.013510004,0.011363462,3.6264427
61.0,60400944.0,49326.164,6579.859,6613.3003,0.08727683,0.013764307,0.011051804,3.5169423
62.0,60396450.0,52500.055,7295.806,7174.4736,0.08441363,0.01402314,0.01074746,3.4078157
63.0,60391844.0,55709.496,8060.1597,7755.0034,0.08161236,0.014286563,0.010450325,3.299217
64.0,60387150.0,58938.082,8874.684,8353.254,0.07887255,0.01455462,0.010160285,3.1912947
65.0,60382380.0,62168.953,9741.491,8967.429,0.07619394,0.014827341,0.009877235,3.0842037
66.0,60377548.0,65385.16,10663.008,9595.644,0.07357623,0.0151048,0.009601063,2.9780874
67.0,60372670.0,68570.234,11642.093,10235.968,0.07101883,0.015387043,0.009331653,2.8730814
68.0,60367764.0,71707.94,12681.701,10886.4,0.068521455,0.015674084,0.009068894,2.769329
69.0,60362844.0,74783.01,13785.142,11544.973,0.06608339,0.015966013,0.008812672,2.6669447
70.0,60357920.0,77781.09,14955.625,12209.728,0.06370439,0.01626283,0.008562866,2.5660665
71.0,60353004.0,80688.81,16196.323,12878.742,0.061383735,0.016564593,0.008319366,2.4667993
72.0,60348116.0,83494.16,17510.17,13550.197,0.059120934,0.016871348,0.008082054,2.3692534
73.0,60343260.0,86186.164,18899.67,14222.329,0.056915443,0.01718311,0.007850814,2.2735326
74.0,60338452.0,88755.15,20366.781,14893.462,0.054766666,0.017499924,0.0076255263,2.1797287
75.0,60333696.0,91192.734,21912.96,15562.057,0.052673917,0.017821819,0.007406077,2.0879235
76.0,60329012.0,93491.61,23538.83,16226.632,0.05063663,0.018148825,0.0071923467,1.9981961
77.0,60324396.0,95645.484,25244.23,16885.824,0.04865415,0.018480957,0.006984228,1.9106145
78.0,60319868.0,97649.25,27028.41,17538.395,0.04672579,0.018818274,0.006781596,1.8252354
79.0,60315430.0,99498.46,28889.715,18183.146,0.044850927,0.019160748,0.0065843435,1.7421157
80.0,60311096.0,101189.71,30825.93,18819.035,0.043028902,0.019508421,0.006392348,1.6612982
81.0,60306864.0,102720.164,32834.18,19445.057,0.041258972,0.01986131,0.006205508,1.5828158
82.0,60302750.0,104087.69,34911.203,20060.307,0.03954054,0.0202194,0.006023702,1.5067023
83.0,60298756.0,105290.77,37053.426,20663.965,0.037872862,0.02058272,0.005846822,1.4329746
84.0,60294884.0,106328.36,39256.89,21255.287,0.03625522,0.020951256,0.0056747557,1.3616468
85.0,60291148.0,107199.88,41517.63,21833.572,0.034686994,0.021325022,0.0055074007,1.2927269
86.0,60287544.0,107905.305,43831.777,22398.238,0.033167403,0.021704018,0.0053446414,1.2262125
87.0,60284080.0,108444.89,46195.414,22948.713,0.031695854,0.022088185,0.005186376,1.1621032
88.0,60280756.0,108819.46,48604.945,23484.537,0.030271571,0.022477552,0.0050325007,1.1003822
89.0,60277576.0,109030.18,51056.9,24005.295,0.02889384,0.022872105,0.004882908,1.0410314
90.0,60274540.0,109078.64,53548.16,24510.625,0.027562153,0.02327177,0.0047374936,0.9840371
91.0,60271650.0,108966.95,56075.832,25000.268,0.026275676,0.02367656,0.004596162,0.9293649
92.0,60268900.0,108697.63,58637.38,25473.984,0.025033813,0.02408643,0.004458815,0.87698716
93.0,60266292.0,108273.73,61230.395,25931.611,0.023835879,0.024501294,0.0043253484,0.8268697
94.0,60263824.0,107698.766,63852.805,26373.06,0.022681247,0.024921149,0.0041956725,0.77897406
95.0,60261492.0,106976.83,66502.484,26798.285,0.021569233,0.025345936,0.004069686,0.7332578
96.0,60259292.0,106112.54,69177.55,27207.291,0.0204993,0.025775552,0.003947306,0.68968135
97.0,60257220.0,105111.086,71876.055,27600.166,0.019470703,0.026209965,0.0038284273,0.6481939
98.0,60255276.0,103978.2,74595.89,27977.008,0.018482964,0.026649073,0.003712973,0.6087523
99.0,60253450.0,102720.18,77334.94,28337.994,0.01753543,0.027092785,0.0036008477,0.57130516
100.0,60251736.0,101343.86,80090.84,28683.352,0.016627531,0.027541026,0.003491968,0.5358017
101.0,60250132.0,99856.58,82860.98,29013.309,0.015758734,0.027993679,0.0033862533,0.5021915
102.0,60248630.0,98266.1,85642.48,29328.178,0.014928412,0.028450608,0.003283611,0.47041997
103.0,60247228.0,96580.63,88432.21,29628.281,0.014136147,0.028911725,0.003183964,0.44043756
104.0,60245916.0,94808.766,91226.79,29913.986,0.0133813135,0.02937688,0.0030872375,0.4121878
105.0,60244696.0,92959.3,94022.46,30185.666,0.012663495,0.029845878,0.0029933483,0.38562098
106.0,60243550.0,91041.2,96815.38,30443.738,0.011982184,0.030318648,0.0029022188,0.3606825
107.0,60242490.0,89063.63,99601.42,30688.633,0.011336904,0.030794948,0.0028137804,0.33732024
108.0,60241492.0,87035.664,102376.4,30920.803,0.010727178,0.031274617,0.0027279526,0.31548142
109.0,60240570.0,84966.33,105136.0,31140.703,0.010152619,0.031757444,0.00264467,0.29511616
110.0,60239700.0,82864.38,107876.01,31348.805,0.00961275,0.032243237,0.0025638582,0.27617216
111.0,60238896.0,80738.414,110592.22,31545.584,0.009107243,0.032731727,0.002485454,0.2586023
112.0,60238140.0,78596.61,113280.53,31731.533,0.008635651,0.033222705,0.0024093867,0.242356
113.0,60237440.0,76446.65,115937.16,31907.133,0.008197617,0.033715874,0.00233559,0.22738652
114.0,60236780.0,74295.8,118558.58,32072.861,0.007792782,0.03421095,0.002264005,0.21364748
115.0,60236164.0,72150.74,121141.46,32229.2,0.0074208193,0.034707665,0.0021945685,0.20109403
116.0,60235588.0,70017.66,123682.86,32376.629,0.007081371,0.035205647,0.0021272183,0.18968195
117.0,60235050.0,67901.984,126180.336,32515.61,0.0067741685,0.035704553,0.0020618946,0.17937002
118.0,60234544.0,65808.63,128631.625,32646.594,0.0064988844,0.03620401,0.0019985407,0.17011651
119.0,60234068.0,63741.91,131035.02,32770.04,0.0062552206,0.03670366,0.0019371003,0.1618814
120.0,60233616.0,61705.598,133389.08,32886.37,0.006042909,0.037203,0.0018775195,0.15462714
121.0,60233190.0,59702.75,135692.81,32996.016,0.0058617108,0.03770159,0.0018197447,0.14831762
122.0,60232790.0,57736.074,137945.45,33099.363,0.0057112984,0.038198948,0.0017637223,0.14291583
123.0,60232412.0,55807.723,140146.64,33196.812,0.0055914633,0.03869453,0.0017094016,0.13838908
124.0,60232050.0,53919.473,142296.22,33288.727,0.0055019967,0.03918779,0.001656735,0.13470587
125.0,60231704.0,52072.63,144394.25,33375.47,0.0054426305,0.039678127,0.0016056746,0.13183452
126.0,60231372.0,50268.258,146441.05,33457.36,0.0054130666,0.040164873,0.00155617,0.12974428
127.0,60231052.0,48507.14,148437.02,33534.72,0.0054132156,0.040647358,0.0015081794,0.12841055
128.0,60230744.0,46789.8,150382.61,33607.85,0.00544272,0.041124806,0.0014616549,0.127804
129.0,60230450.0,45116.582,152278.52,33677.03,0.005501371,0.041596442,0.001416558,0.1279002
130.0,60230160.0,43487.723,154125.31,33742.51,0.00558893,0.042061448,0.0013728411,0.12867554
131.0,60229880.0,41903.316,155923.7,33804.55,0.005705189,0.042518884,0.0013304681,0.13010885
132.0,60229610.0,40363.355,157674.31,33863.363,0.0058498792,0.042967826,0.0012893975,0.13217908
133.0,60229340.0,38867.84,159377.8,33919.156,0.0060227327,0.043407217,0.0012495875,0.13486707
134.0,60229076.0,37416.68,161034.8,33972.137,0.006223511,0.043835998,0.0012110055,0.13815594
135.0,60228816.0,36009.773,162645.78,34022.47,0.006451886,0.044252977,0.0011736095,0.14202887
136.0,60228556.0,34647.0,164211.39,34070.324,0.0067075603,0.044656977,0.0011373699,0.14647137
137.0,60228304.0,33328.207,165732.06,34115.863,0.0069902353,0.045046613,0.0011022448,0.15147147
138.0,60228052.0,32053.271,167208.25,34159.21,0.0072995834,0.045420557,0.0010682077,0.15701823
139.0,60227800.0,30822.01,168640.38,34200.504,0.0076351576,0.045777336,0.0010352224,0.16310063
140.0,60227550.0,29634.213,170028.86,34239.863,0.00799663,0.04611537,0.0010032594,0.1697127
141.0,60227304.0,28489.68,171374.16,34277.402,0.008383583,0.04643309,0.0009722829,0.1768488
142.0,60227056.0,27388.127,172676.55,34313.215,0.008795571,0.04672876,0.000942266,0.18450558
143.0,60226810.0,26329.316,173936.53,34347.402,0.009232055,0.047000617,0.0009131819,0.19268052
