train_size,test_size,model1_I_RMSE,model1_I_MAE,model1_D_RMSE,model1_D_MAE,model1_beta,model1_gamma,model1_mu,model1_R0,model2_I_RMSE,model2_I_MAE,model2_D_RMSE,model2_D_MAE,model2_beta_mean,model2_gamma_mean,model2_mu_mean,model2_R0_mean,model1_test_I_RMSE,model1_test_D_RMSE,model2_test_I_RMSE,model2_test_D_RMSE
70,333,322199.1759641852,191916.34375,19162.46664706817,11073.8994140625,0.061951587456121004,0.030021588151135925,0.021166599366774008,1.21027116723844,325376.69236747734,212378.203125,45673.57292789781,37488.3984375,0.028956203,0.0053374227,0.004230668,-118.38564,354449.86592746794,21080.538133548678,357944.73942216276,50245.227753489184
100,303,320939.93157598824,183795.515625,17860.403578866855,10907.2646484375,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805,321734.180963105,185596.484375,23238.167225493493,12535.078125,0.020429937,0.019493269,0.0050707995,-1.4021726,370130.47576226416,20597.848431328937,371044.84481528646,26799.299095312177
250,153,304466.39759421727,167746.03125,19938.325707039698,9628.4345703125,0.028250810422593198,0.022133150762406628,0.005073826160153783,1.0383663904668228,271172.7806989485,147908.53125,21723.005316944524,10790.7841796875,0.05092407,0.016985435,0.0048241285,2.12557,494134.61252577725,32358.929030485542,440091.38251049636,35251.571312496126
280,123,270802.64270497806,145229.875,17274.31758420575,8206.9775390625,0.037704943353599585,0.02207880845753818,0.008384001966464272,1.2377368610707982,180063.8208636038,92084.4765625,12073.414761367225,6368.564453125,0.041382853,0.017246833,0.0025595753,2.653104,490164.5477184167,31266.73887695997,325613.23216355935,21804.635103573735
300,103,167018.33422711413,82351.40625,4068.4689995132076,1605.5780029296875,0.04258710152577888,0.025326548897343593,0.00878043486791058,1.2486328846575891,571760.1681264619,281745.53125,20031.48641514154,11208.7373046875,0.21329606,0.1195771,0.0561377,2.0778074,330346.7114411766,8043.495508794668,1128592.0779165518,39244.71572071838
