t,S,I,R,D,beta,gamma,mu,R0
0.0,60464620.0,-875.85803,-1362.3259,209.2398,0.16089828,0.0041539967,0.008804685,12.416253
1.0,60464780.0,-927.143,-1281.6805,176.48447,0.15909804,0.004251644,0.0087743765,12.213864
2.0,60464940.0,-970.93207,-1209.0276,144.06337,0.15730377,0.0043513775,0.008744049,12.012115
3.0,60465096.0,-1006.7464,-1144.0509,112.083275,0.15551578,0.004453182,0.0087137045,11.811128
4.0,60465244.0,-1033.8105,-1086.4586,80.64417,0.15373416,0.0045571476,0.008683339,11.610915
5.0,60465388.0,-1051.5085,-1036.1212,49.885933,0.15195884,0.0046632737,0.008652958,11.41155
6.0,60465530.0,-1059.0576,-992.58453,19.934963,0.15019031,0.004771605,0.00862256,11.213115
7.0,60465656.0,-1055.9559,-955.565,-9.085708,0.14842834,0.0048821867,0.00859215,11.015632
8.0,60465776.0,-1041.1315,-924.7627,-37.03339,0.14667316,0.004995048,0.008561713,10.819189
9.0,60465890.0,-1013.9382,-899.9506,-63.759216,0.14492495,0.005110234,0.008531267,10.623828
10.0,60465988.0,-973.28876,-880.6586,-89.10645,0.14318384,0.0052277595,0.0085008,10.429634
11.0,60466070.0,-918.5296,-866.55444,-112.927345,0.14144976,0.005347684,0.008470318,10.2366295
12.0,60466144.0,-848.3226,-857.3948,-135.04663,0.13972296,0.0054700375,0.008439821,10.044887
13.0,60466200.0,-761.81635,-852.66907,-155.28284,0.1380036,0.0055948645,0.008409301,9.854468
14.0,60466236.0,-657.9465,-852.1665,-173.4697,0.1362917,0.00572218,0.008378771,9.665426
15.0,60466256.0,-535.4624,-855.3197,-189.39767,0.13458736,0.0058520436,0.008348221,9.477807
16.0,60466252.0,-393.25424,-861.8044,-202.86676,0.13289072,0.005984485,0.008317649,9.29167
17.0,60466224.0,-229.89278,-871.1991,-213.67249,0.13120188,0.0061195344,0.008287069,9.107065
18.0,60466172.0,-44.161613,-883.1228,-221.60248,0.12952097,0.006257251,0.008256465,8.924039
19.0,60466096.0,165.37988,-897.1379,-226.41745,0.12784798,0.0063976645,0.008225846,8.742633
20.0,60465988.0,400.1191,-912.68494,-227.88704,0.12618314,0.00654079,0.008195209,8.562917
21.0,60465850.0,661.7932,-929.4884,-225.78545,0.124526456,0.0066867024,0.008164552,8.384912
22.0,60465670.0,951.77435,-946.93225,-219.81998,0.12287809,0.006835401,0.008133876,8.208686
23.0,60465464.0,1271.7389,-964.5058,-209.74792,0.12123813,0.0069869757,0.00810318,8.034253
24.0,60465216.0,1623.5759,-981.8929,-195.29686,0.11960657,0.0071414113,0.008072463,7.861677
25.0,60464924.0,2008.9846,-998.4694,-176.18588,0.117983595,0.0072987676,0.008041722,7.690993
26.0,60464588.0,2429.7856,-1013.7328,-152.11107,0.11636929,0.007459089,0.008010963,7.52223
27.0,60464204.0,2887.8418,-1027.1642,-122.778046,0.11476372,0.007622406,0.00798018,7.3554296
28.0,60463772.0,3385.232,-1038.0747,-87.85482,0.11316697,0.0077887625,0.007949374,7.1906204
29.0,60463290.0,3923.9177,-1046.132,-47.045887,0.111579135,0.007958174,0.007918539,7.0278482
30.0,60462744.0,4505.9062,-1050.5577,-0.012499467,0.11000024,0.008130714,0.007887683,6.8671184
31.0,60462144.0,5133.386,-1050.7686,53.60038,0.10843043,0.008306384,0.007856793,6.7084846
32.0,60461480.0,5808.358,-1046.1644,114.13937,0.10686977,0.008485258,0.007825876,6.5519524
33.0,60460748.0,6533.049,-1036.0159,181.95615,0.10531832,0.00866732,0.0077949287,6.3975663
34.0,60459948.0,7309.5376,-1019.64197,257.41415,0.10377617,0.008852646,0.007763946,6.245334
35.0,60459076.0,8139.949,-996.3619,340.91116,0.10224338,0.009041265,0.007732928,6.0952787
36.0,60458124.0,9026.568,-965.2799,432.8047,0.10072,0.009233192,0.007701871,5.947425
37.0,60457096.0,9971.295,-925.7313,533.4962,0.099206135,0.009428501,0.0076707723,5.801775
38.0,60455980.0,10976.281,-876.6949,643.37354,0.0977018,0.009627193,0.0076396377,5.658352
39.0,60454780.0,12043.405,-817.2545,762.8603,0.09620713,0.009829313,0.0076084523,5.5171704
40.0,60453492.0,13174.646,-746.5672,892.32635,0.09472217,0.010034889,0.0075772167,5.378242
41.0,60452108.0,14371.602,-663.49414,1032.1879,0.09324689,0.010243952,0.0075459303,5.241569
42.0,60450624.0,15635.905,-566.9694,1182.8785,0.09178151,0.010456532,0.007514587,5.1071672
43.0,60449040.0,16969.01,-455.70007,1344.7787,0.09032588,0.010672659,0.0074831843,4.975031
44.0,60447356.0,18372.203,-328.39734,1518.298,0.088880256,0.010892391,0.007451713,4.845167
45.0,60445564.0,19846.459,-183.85744,1703.8457,0.08744456,0.0111157,0.007420176,4.717584
46.0,60443664.0,21392.396,-20.49165,1901.828,0.086018875,0.01134266,0.007388562,4.5922728
47.0,60441650.0,23010.605,163.29689,2112.5928,0.084603265,0.011573285,0.007356867,4.469233
48.0,60439520.0,24701.021,368.9875,2336.565,0.08319785,0.011807606,0.0073250863,4.348465
49.0,60437276.0,26463.518,598.5621,2574.0728,0.0818025,0.012045622,0.0072932127,4.22996
50.0,60434916.0,28297.434,853.7958,2825.4731,0.08041735,0.012287378,0.0072612404,4.11371
51.0,60432436.0,30201.658,1136.6421,3091.0984,0.07904251,0.012532905,0.0072291554,3.99971
52.0,60429836.0,32174.676,1449.2573,3371.2268,0.07767795,0.012782186,0.007196963,3.887951
53.0,60427116.0,34214.523,1793.9393,3666.1514,0.0763237,0.013035268,0.007164642,3.778418
54.0,60424276.0,36318.75,2172.731,3976.0955,0.0749798,0.0132921785,0.0071321907,3.671095
55.0,60421316.0,38484.336,2588.2097,4301.2715,0.07364632,0.013552889,0.007099596,3.5659788
56.0,60418236.0,40707.64,3042.783,4641.822,0.07232322,0.013817474,0.007066843,3.4630396
57.0,60415040.0,42984.715,3538.9639,4997.869,0.071010605,0.014085874,0.007033929,3.3622758
58.0,60411730.0,45310.832,4079.3704,5369.491,0.06970848,0.014358163,0.00700084,3.263658
59.0,60408308.0,47681.113,4666.584,5756.6646,0.06841688,0.014634311,0.0069675567,3.1671743
60.0,60404776.0,50089.566,5303.26,6159.339,0.067135826,0.014914349,0.0069340705,3.0728002
61.0,60401140.0,52530.215,5991.996,6577.4116,0.06586535,0.015198246,0.006900364,2.9805202
62.0,60397404.0,54996.344,6735.2397,7010.669,0.06460543,0.015486032,0.0068664253,2.8903055
63.0,60393572.0,57480.848,7535.569,7458.857,0.063356176,0.015777677,0.006832236,2.8021414
64.0,60389656.0,59976.27,8395.363,7921.633,0.0621175,0.016073227,0.006797773,2.7159941
65.0,60385652.0,62474.9,9316.956,8398.588,0.060889494,0.016372621,0.0067630233,2.6318479
66.0,60381576.0,64968.4,10302.282,8889.211,0.059672188,0.01667586,0.0067279637,2.549677
67.0,60377430.0,67448.53,11353.436,9392.9375,0.058465492,0.016982958,0.0066925734,2.4694479
68.0,60373228.0,69906.49,12472.055,9909.093,0.057269584,0.01729387,0.0066568316,2.3911443
69.0,60368972.0,72333.914,13659.517,10436.944,0.056084346,0.017608583,0.006620705,2.3147335
70.0,60364676.0,74721.9,14917.248,10975.698,0.054909866,0.017927065,0.0065841763,2.240191
71.0,60360344.0,77061.74,16246.048,11524.445,0.053746115,0.018249273,0.006547216,2.1674888
72.0,60355990.0,79344.9,17646.707,12082.251,0.052593123,0.018575221,0.006509793,2.0965953
73.0,60351620.0,81563.03,19119.576,12648.106,0.05145092,0.01890485,0.0064718784,2.0274844
74.0,60347244.0,83707.77,20664.648,13220.934,0.050319444,0.019238114,0.006433436,1.9601249
75.0,60342876.0,85771.34,22281.816,13799.634,0.049198758,0.019574955,0.006394437,1.8944902
76.0,60338516.0,87746.09,23970.504,14383.078,0.04808886,0.019915357,0.0063548386,1.8305482
77.0,60334184.0,89625.0,25729.953,14970.054,0.04698978,0.020259216,0.0063146055,1.7682734
78.0,60329880.0,91401.45,27559.08,15559.43,0.04590146,0.020606518,0.006273702,1.7076296
79.0,60325620.0,93069.18,29456.596,16149.971,0.044823986,0.020957157,0.006232077,1.6485932
80.0,60321410.0,94622.53,31420.84,16740.498,0.04375727,0.02131106,0.006189695,1.5911299
81.0,60317252.0,96056.45,33450.223,17329.852,0.042701434,0.02166818,0.0061465055,1.5352118
82.0,60313164.0,97366.49,35542.44,17916.836,0.041656386,0.022028401,0.0061024637,1.4808072
83.0,60309144.0,98548.71,37695.63,18500.395,0.040622156,0.022391647,0.0060575157,1.4278858
84.0,60305204.0,99600.01,39907.49,19079.426,0.039598744,0.022757813,0.0060116174,1.3764174
85.0,60301348.0,100517.62,42175.305,19652.87,0.03858615,0.023126751,0.0059647085,1.3263738
86.0,60297580.0,101299.586,44496.805,20219.809,0.037584465,0.023498401,0.0059167356,1.2777253
87.0,60293908.0,101944.53,46869.027,20779.28,0.036593568,0.023872584,0.0058676484,1.2304399
88.0,60290336.0,102451.625,49289.59,21330.482,0.03561352,0.024249226,0.005817387,1.1844872
89.0,60286864.0,102820.7,51755.406,21872.6,0.034644287,0.024628118,0.0057658884,1.1398394
90.0,60283496.0,103052.195,54263.906,22404.959,0.033685964,0.025009125,0.0057131024,1.0964688
91.0,60280236.0,103146.98,56811.914,22926.889,0.03273846,0.025392115,0.0056589665,1.054342
92.0,60277090.0,103106.57,59396.7,23437.883,0.0318018,0.025776893,0.0056034266,1.0134314
93.0,60274050.0,102933.02,62015.293,23937.412,0.030876052,0.02616322,0.005546421,0.9737118
94.0,60271120.0,102628.73,64664.81,24425.088,0.02996112,0.026550949,0.005487895,0.93514985
95.0,60268300.0,102196.75,67342.2,24900.537,0.029057126,0.026939854,0.005427796,0.89772123
96.0,60265596.0,101640.35,70044.414,25363.502,0.02816404,0.027329743,0.0053660753,0.8613958
97.0,60262996.0,100963.445,72768.66,25813.775,0.027281802,0.027720347,0.0053026737,0.82614493
98.0,60260510.0,100170.14,75511.63,26251.168,0.026410501,0.028111413,0.0052375584,0.79194355
99.0,60258132.0,99264.89,78270.55,26675.607,0.025550138,0.028502673,0.0051706913,0.758764
100.0,60255860.0,98252.55,81042.32,27087.027,0.024700712,0.028893843,0.0051020356,0.7265796
101.0,60253696.0,97138.305,83823.72,27485.414,0.023862284,0.029284611,0.005031568,0.6953654
102.0,60251628.0,95927.37,86611.83,27870.832,0.023034792,0.029674709,0.0049592704,0.6650923
103.0,60249664.0,94625.43,89403.58,28243.334,0.022218298,0.030063763,0.0048851403,0.63573664
104.0,60247800.0,93238.25,92195.875,28603.047,0.02141286,0.030451432,0.004809174,0.6072743
105.0,60246028.0,91771.67,94985.48,28950.1,0.02061848,0.030837372,0.00473139,0.5796794
106.0,60244348.0,90231.695,97769.45,29284.664,0.019835126,0.031221181,0.004651818,0.5529263
107.0,60242760.0,88624.68,100544.74,29606.912,0.019062947,0.031602442,0.0045704963,0.5269947
108.0,60241256.0,86956.54,103308.1,29917.078,0.018301886,0.031980693,0.004487482,0.5018591
109.0,60239836.0,85233.65,106056.56,30215.355,0.01755203,0.03235559,0.00440284,0.4774967
110.0,60238500.0,83462.06,108787.234,30501.994,0.016813409,0.032726586,0.0043166666,0.45388588
111.0,60237240.0,81648.08,111497.02,30777.23,0.016085993,0.033093214,0.004229057,0.43100253
112.0,60236056.0,79797.72,114182.99,31041.352,0.015369963,0.033454984,0.0041401386,0.40882865
113.0,60234940.0,77917.01,116842.414,31294.56,0.014665287,0.03381133,0.00405004,0.3873417
114.0,60233900.0,76011.79,119472.445,31537.17,0.013972025,0.034161747,0.003958914,0.36652106
115.0,60232920.0,74087.83,122070.46,31769.42,0.013290267,0.034505606,0.0038669289,0.34634843
116.0,60232010.0,72150.7,124633.89,31991.607,0.012620073,0.034842357,0.0037742704,0.3268041
117.0,60231150.0,70205.69,127160.28,32203.963,0.011961531,0.03517133,0.0036811263,0.30787066
118.0,60230356.0,68258.01,129647.33,32406.799,0.011314701,0.03549193,0.0035877049,0.28952935
119.0,60229616.0,66312.49,132092.89,32600.346,0.010679644,0.035803527,0.003494218,0.27176225
120.0,60228932.0,64373.93,134494.75,32784.91,0.010056477,0.036105365,0.003400892,0.25455403
121.0,60228292.0,62446.656,136851.23,32960.72,0.009445291,0.0363968,0.0033079477,0.2378882
122.0,60227704.0,60534.793,139160.6,33128.066,0.008846205,0.036677122,0.003215614,0.22174975
123.0,60227160.0,58642.273,141421.11,33287.207,0.008259308,0.03694558,0.0031241209,0.2061235
124.0,60226660.0,56772.62,143631.53,33438.38,0.0076847486,0.037201434,0.0030336857,0.19099604
125.0,60226200.0,54929.152,145790.61,33581.867,0.007122617,0.037443906,0.002944529,0.17635289
126.0,60225776.0,53114.84,147897.22,33717.883,0.0065730624,0.03767228,0.0028568506,0.16218118
127.0,60225390.0,51332.45,149950.56,33846.72,0.006036233,0.037885725,0.002770853,0.14846879
128.0,60225040.0,49584.508,151949.94,33968.594,0.0055122785,0.03808351,0.0026867122,0.13520354
129.0,60224724.0,47872.95,153894.78,34083.754,0.0050013773,0.038264826,0.002604595,0.12237456
130.0,60224436.0,46199.844,155784.7,34192.434,0.0045036785,0.038428888,0.0025246472,0.10997044
131.0,60224176.0,44566.848,157619.44,34294.867,0.004019391,0.038574934,0.0024470002,0.0979815
132.0,60223940.0,42975.21,159399.02,34391.297,0.003548693,0.03870222,0.0023717582,0.086397596
133.0,60223732.0,41426.164,161123.47,34481.934,0.0030917637,0.038809985,0.0022990168,0.07520892
134.0,60223548.0,39920.547,162793.02,34567.023,0.0026488714,0.03889753,0.0022288382,0.06440811
135.0,60223384.0,38459.12,164407.86,34646.723,0.0022202246,0.038964108,0.0021612763,0.05398672
136.0,60223240.0,37042.312,165968.72,34721.305,0.0018061213,0.039009124,0.002096358,0.043938696
137.0,60223116.0,35670.426,167475.95,34790.96,0.0014067404,0.039031923,0.002034098,0.03425558
138.0,60223010.0,34343.684,168930.47,34855.9,0.0010224096,0.039031908,0.0019744933,0.024932928
139.0,60222916.0,33061.957,170332.69,34916.305,0.0006533377,0.039008617,0.0019175202,0.015963824
140.0,60222836.0,31825.033,171683.88,34972.383,0.00029997155,0.038961485,0.0018631489,0.0073478078
141.0,60222770.0,30632.664,172984.78,35024.33,-3.7450343e-05,0.038890198,0.0018113315,-0.00092012127
142.0,60222710.0,29484.39,174236.34,35072.312,-0.00035857037,0.038794383,0.0017620086,-0.008841278
143.0,60222668.0,28379.576,175439.7,35116.54,-0.0006630607,0.038673803,0.0017151147,-0.016416896
144.0,60222628.0,27317.55,176596.05,35157.188,-0.0009504743,0.038528383,0.0016705781,-0.023644252
145.0,60222600.0,26297.703,177706.45,35194.39,-0.0012205131,0.0383579,0.0016283154,-0.030523347
146.0,60222576.0,25319.188,178772.27,35228.367,-0.001472611,0.0381625,0.0015882433,-0.037046123
147.0,60222560.0,24381.06,179794.58,35259.25,-0.0017064698,0.037942246,0.0015502751,-0.043209948
148.0,60222544.0,23482.438,180774.7,35287.184,-0.0019215234,0.037697434,0.0015143127,-0.04900377
149.0,60222532.0,22622.365,181713.94,35312.363,-0.0021173544,0.03742838,0.0014802695,-0.054418605
150.0,60222524.0,21799.79,182613.66,35334.93,-0.0022934265,0.037135586,0.0014480532,-0.05944039
151.0,60222520.0,21013.754,183475.08,35354.996,-0.0024491735,0.036819622,0.0014175713,-0.06405213
152.0,60222510.0,20263.145,184299.55,35372.734,-0.0025840886,0.03648117,0.0013887286,-0.06823595
153.0,60222504.0,19546.87,185088.39,35388.25,-0.002697546,0.03612104,0.0013614417,-0.07196818
154.0,60222496.0,18864.021,185842.84,35401.71,-0.0027889498,0.035740197,0.0013356239,-0.07522287
155.0,60222484.0,18213.361,186564.33,35413.21,-0.002857674,0.035339653,0.0013111889,-0.07797021
156.0,60222470.0,17593.955,187254.14,35422.89,-0.002903033,0.03492053,0.0012880535,-0.08017528
157.0,60222456.0,17004.639,187913.47,35430.867,-0.002924312,0.034484103,0.0012661427,-0.08179837
158.0,60222430.0,16444.506,188543.58,35437.242,-0.0029208548,0.034031674,0.0012453794,-0.08279759
159.0,60222410.0,15912.411,189145.78,35442.156,-0.0028918274,0.033564642,0.0012256921,-0.083121575
160.0,60222376.0,15407.469,189721.48,35445.68,-0.0028365143,0.033084482,0.0012070149,-0.08271771
161.0,60222336.0,14928.687,190271.55,35447.934,-0.0027541108,0.032592744,0.0011892825,-0.08152592
162.0,60222292.0,14475.021,190797.39,35449.02,-0.0026437528,0.03209102,0.0011724354,-0.0794792
163.0,60222240.0,14045.643,191300.1,35449.016,-0.0025046356,0.03158088,0.0011564136,-0.07650711
164.0,60222184.0,13639.657,191780.9,35448.043,-0.0023358352,0.031064004,0.0011411638,-0.07252982
165.0,60222116.0,13256.167,192240.84,35446.164,-0.0021364577,0.030541986,0.0011266321,-0.06746293
166.0,60222040.0,12894.397,192681.14,35443.46,-0.0019055791,0.030016497,0.0011127711,-0.061215032
167.0,60221950.0,12553.477,193102.56,35440.03,-0.0016423054,0.029489145,0.0010995418,-0.05368996
168.0,60221860.0,12232.654,193506.6,35435.938,-0.0013456531,0.02896148,0.0010868937,-0.044782892
169.0,60221756.0,11931.241,193893.89,35431.273,-0.0010146685,0.028435081,0.001074791,-0.034384035
170.0,60221640.0,11648.56,194265.7,35426.09,-0.00064839795,0.02791138,0.0010631949,-0.02237817
171.0,60221516.0,11383.844,194622.86,35420.47,-0.00024582818,0.027391806,0.0010520756,-0.008642568
172.0,60221380.0,11136.505,194966.3,35414.46,0.00019393489,0.026877701,0.0010413945,0.006946317
173.0,60221230.0,10906.035,195296.88,35408.152,0.00067187473,0.026370332,0.0010311246,0.024519673
174.0,60221076.0,10691.673,195615.69,35401.58,0.0011889152,0.02587083,0.0010212362,0.04421063
175.0,60220908.0,10492.943,195923.48,35394.816,0.0017459504,0.025380269,0.0010117084,0.06615459
176.0,60220730.0,10309.417,196221.08,35387.887,0.002343785,0.024899632,0.0010025084,0.090486154
177.0,60220536.0,10140.567,196509.3,35380.875,0.0029833429,0.024429783,0.0009936214,0.11734632
178.0,60220332.0,9985.93,196788.86,35373.797,0.0036652796,0.023971483,0.0009850234,0.1468667
