t,S,I,R,D,beta,gamma,mu,R0
53.0,5833198.5,-0.34814453,25190.76,2271.1418,0.012062539,0.030232823,0.0002909316,0.39518532
54.0,5833198.5,-0.3544922,25190.781,2271.1462,0.012057978,0.03023184,0.00028944103,0.39506787
55.0,5833198.5,-0.3623047,25190.791,2271.1497,0.012053442,0.030230869,0.00028796418,0.39495096
56.0,5833198.5,-0.36669922,25190.812,2271.154,0.012048934,0.0302299,0.00028650105,0.3948347
57.0,5833198.5,-0.37451172,25190.834,2271.1577,0.01204445,0.030228937,0.00028505156,0.39471897
58.0,5833198.5,-0.37939453,25190.848,2271.1614,0.012039991,0.030227982,0.00028361555,0.39460376
59.0,5833198.5,-0.3828125,25190.861,2271.1658,0.01203556,0.030227032,0.00028219272,0.39448923
60.0,5833198.5,-0.38916016,25190.877,2271.1697,0.012031151,0.030226089,0.0002807832,0.39437512
61.0,5833198.5,-0.3959961,25190.89,2271.1733,0.01202677,0.03022515,0.00027938662,0.39426166
62.0,5833198.5,-0.3984375,25190.906,2271.1775,0.012022413,0.030224219,0.00027800296,0.39414877
63.0,5833198.5,-0.40429688,25190.92,2271.1812,0.012018081,0.030223291,0.00027663217,0.3940364
64.0,5833198.5,-0.40722656,25190.94,2271.1853,0.012013775,0.030222371,0.00027527395,0.39392468
65.0,5833198.5,-0.4116211,25190.947,2271.1892,0.012009492,0.030221457,0.0002739284,0.39381343
66.0,5833198.5,-0.41601562,25190.965,2271.1934,0.012005236,0.030220548,0.0002725953,0.3937028
67.0,5833198.5,-0.41992188,25190.982,2271.1973,0.012001006,0.030219644,0.0002712745,0.3935928
68.0,5833198.5,-0.41845703,25190.99,2271.2012,0.011996799,0.030218747,0.00026996573,0.39348328
69.0,5833198.5,-0.42382812,25191.002,2271.2053,0.011992617,0.030217856,0.0002686692,0.39337432
70.0,5833198.5,-0.42822266,25191.014,2271.2092,0.01198846,0.03021697,0.0002673846,0.393266
71.0,5833198.5,-0.4272461,25191.027,2271.2131,0.011984327,0.030216089,0.0002661118,0.3931582
72.0,5833198.5,-0.42822266,25191.04,2271.217,0.01198022,0.030215213,0.0002648507,0.393051
73.0,5833198.5,-0.42919922,25191.047,2271.221,0.011976136,0.030214343,0.00026360134,0.39294434
74.0,5833198.5,-0.43310547,25191.064,2271.2249,0.011972077,0.030213479,0.00026236332,0.39283827
75.0,5833198.5,-0.4321289,25191.068,2271.2288,0.011968043,0.03021262,0.00026113674,0.39273274
76.0,5833198.5,-0.43652344,25191.086,2271.233,0.011964034,0.030211767,0.0002599214,0.39262787
77.0,5833198.5,-0.43652344,25191.096,2271.2373,0.011960048,0.03021092,0.00025871728,0.3925235
78.0,5833198.5,-0.4350586,25191.11,2271.2407,0.011956086,0.030210076,0.0002575242,0.3924197
79.0,5833198.5,-0.4321289,25191.115,2271.2449,0.011952151,0.03020924,0.0002563421,0.3923165
80.0,5833198.5,-0.43603516,25191.127,2271.2488,0.011948238,0.030208407,0.00025517074,0.39221388
81.0,5833198.5,-0.43359375,25191.135,2271.2527,0.011944348,0.03020758,0.00025401023,0.39211175
82.0,5833198.5,-0.43408203,25191.145,2271.2566,0.011940483,0.030206759,0.00025286025,0.39201027
83.0,5833198.5,-0.43164062,25191.154,2271.2607,0.011936642,0.030205943,0.00025172086,0.3919093
84.0,5833198.5,-0.43164062,25191.164,2271.2646,0.011932825,0.03020513,0.00025059193,0.39180893
85.0,5833198.5,-0.43066406,25191.174,2271.2686,0.011929033,0.030204326,0.00024947326,0.3917092
86.0,5833198.5,-0.43066406,25191.178,2271.2725,0.011925263,0.030203525,0.0002483648,0.39160997
87.0,5833198.5,-0.42578125,25191.193,2271.2764,0.011921518,0.030202728,0.00024726664,0.39151132
88.0,5833198.5,-0.4248047,25191.201,2271.2803,0.011917795,0.030201938,0.00024617836,0.3914132
89.0,5833198.5,-0.42382812,25191.205,2271.2844,0.011914097,0.030201152,0.00024510003,0.39131573
90.0,5833198.5,-0.421875,25191.213,2271.288,0.011910424,0.03020037,0.0002440316,0.39121887
91.0,5833198.5,-0.4189453,25191.22,2271.2922,0.011906772,0.030199595,0.00024297278,0.39112246
92.0,5833198.5,-0.41796875,25191.23,2271.2961,0.011903144,0.030198822,0.00024192376,0.3910267
93.0,5833198.5,-0.41357422,25191.232,2271.3003,0.01189954,0.030198056,0.00024088423,0.3909315
94.0,5833198.5,-0.41357422,25191.242,2271.3037,0.01189596,0.030197294,0.00023985418,0.39083686
95.0,5833198.5,-0.40820312,25191.246,2271.3079,0.011892401,0.030196538,0.00023883343,0.39074275
96.0,5833198.5,-0.40576172,25191.254,2271.3118,0.011888867,0.030195786,0.00023782195,0.3906493
97.0,5833198.5,-0.40234375,25191.26,2271.3154,0.011885356,0.030195039,0.00023681979,0.39055637
98.0,5833198.5,-0.39941406,25191.27,2271.3196,0.011881867,0.030194297,0.00023582659,0.390464
99.0,5833198.5,-0.3959961,25191.271,2271.3232,0.011878403,0.03019356,0.0002348425,0.39037222
100.0,5833198.5,-0.39501953,25191.281,2271.3271,0.011874961,0.030192826,0.00023386735,0.390281
101.0,5833198.5,-0.3881836,25191.287,2271.331,0.011871542,0.030192098,0.00023290093,0.39019036
102.0,5833198.5,-0.3857422,25191.293,2271.335,0.011868144,0.030191373,0.00023194336,0.39010027
103.0,5833198.5,-0.3803711,25191.297,2271.3389,0.011864771,0.030190654,0.00023099437,0.3900108
104.0,5833198.5,-0.37646484,25191.303,2271.3428,0.01186142,0.03018994,0.00023005405,0.38992184
105.0,5833198.5,-0.37109375,25191.307,2271.3467,0.011858093,0.03018923,0.00022912215,0.3898335
106.0,5833198.5,-0.36767578,25191.31,2271.3503,0.011854786,0.030188525,0.00022819874,0.38974568
107.0,5833198.5,-0.36376953,25191.316,2271.354,0.011851504,0.030187823,0.0002272836,0.38965848
108.0,5833198.5,-0.36083984,25191.322,2271.3577,0.011848244,0.030187126,0.00022637681,0.38957182
109.0,5833199.0,-0.35595703,25191.326,2271.3616,0.011845005,0.030186433,0.00022547808,0.3894857
110.0,5833198.5,-0.35107422,25191.328,2271.3652,0.011841789,0.030185746,0.00022458754,0.38940015
111.0,5833199.0,-0.34570312,25191.33,2271.3694,0.011838596,0.030185062,0.00022370499,0.38931522
112.0,5833199.0,-0.3408203,25191.336,2271.373,0.011835425,0.030184383,0.00022283033,0.38923085
113.0,5833199.0,-0.33691406,25191.34,2271.3767,0.011832276,0.030183708,0.00022196365,0.389147
114.0,5833199.0,-0.33154297,25191.344,2271.3804,0.01182915,0.030183038,0.00022110468,0.38906375
115.0,5833199.0,-0.3256836,25191.346,2271.3843,0.011826046,0.03018237,0.00022025348,0.38898107
116.0,5833199.0,-0.3203125,25191.352,2271.388,0.011822963,0.03018171,0.00021940986,0.38889894
117.0,5833199.0,-0.31396484,25191.354,2271.3916,0.011819903,0.030181052,0.00021857384,0.38881737
118.0,5833199.0,-0.3095703,25191.355,2271.3953,0.011816863,0.030180398,0.00021774528,0.38873634
119.0,5833199.0,-0.30371094,25191.361,2271.3992,0.011813847,0.030179748,0.00021692418,0.38865596
120.0,5833199.0,-0.29833984,25191.36,2271.4028,0.011810852,0.030179102,0.00021611035,0.3885761
121.0,5833199.0,-0.2915039,25191.365,2271.4065,0.0118078785,0.030178461,0.00021530392,0.38849676
122.0,5833199.0,-0.2866211,25191.367,2271.4104,0.011804927,0.030177824,0.00021450459,0.388418
123.0,5833199.0,-0.27978516,25191.371,2271.4138,0.011801997,0.03017719,0.00021371251,0.3883398
124.0,5833199.0,-0.27490234,25191.37,2271.4175,0.011799089,0.030176561,0.00021292747,0.38826215
125.0,5833199.0,-0.2685547,25191.371,2271.4214,0.0117962025,0.030175937,0.00021214932,0.38818508
126.0,5833199.0,-0.26367188,25191.377,2271.4248,0.011793338,0.030175315,0.00021137818,0.3881086
127.0,5833199.0,-0.25732422,25191.375,2271.4285,0.0117904935,0.030174699,0.00021061397,0.38803264
128.0,5833199.0,-0.25,25191.379,2271.4321,0.011787671,0.030174084,0.00020985647,0.38795727
129.0,5833199.0,-0.24511719,25191.38,2271.4358,0.011784869,0.030173475,0.00020910574,0.3878824
130.0,5833199.0,-0.23779297,25191.379,2271.4392,0.01178209,0.03017287,0.00020836166,0.3878082
131.0,5833199.0,-0.23144531,25191.38,2271.4429,0.011779331,0.030172268,0.00020762428,0.38773444
132.0,5833199.0,-0.22558594,25191.383,2271.4463,0.0117765935,0.03017167,0.00020689334,0.3876613
133.0,5833199.0,-0.21875,25191.383,2271.45,0.011773876,0.030171076,0.00020616886,0.38758868
134.0,5833199.0,-0.21386719,25191.385,2271.4534,0.011771182,0.030170485,0.00020545087,0.38751665
