t,S,I,R,D,beta_const,gamma_const,mu_const,R0_const
0.0,5995553.0,4047.4053,0.0,0.0,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
1.0,5994981.5,4557.8584,374.35156,107.36853,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
2.0,5994765.5,4544.0557,498.84473,135.3761,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
3.0,5994548.0,4582.956,661.9453,168.35217,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
4.0,5994315.0,4622.17,826.16016,202.84167,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
5.0,5994072.5,4661.0176,988.14355,236.87073,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
6.0,5993834.5,4703.496,1142.6748,268.76233,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
7.0,5993600.0,4749.3555,1292.8008,298.76636,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
8.0,5993364.0,4796.799,1442.1465,327.6206,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
9.0,5993127.0,4844.377,1591.292,355.7068,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
10.0,5992891.0,4891.379,1738.8545,383.06396,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
11.0,5992658.5,4937.6816,1883.1221,409.60645,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
12.0,5992431.5,4983.4717,2022.7793,435.2411,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
13.0,5992210.5,5029.0967,2157.0957,459.9209,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
14.0,5991997.0,5074.9062,2285.7373,483.6283,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
15.0,5991789.5,5121.251,2408.7354,506.37646,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
16.0,5991588.5,5168.408,2526.2139,528.1969,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
17.0,5991393.0,5216.5996,2638.4795,549.1277,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
18.0,5991202.0,5265.9834,2745.8418,569.2169,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
19.0,5991016.0,5316.6494,2848.6826,588.5182,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
20.0,5990833.5,5368.6367,2947.3838,607.08875,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
21.0,5990654.5,5421.9326,3042.3584,624.9912,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
22.0,5990478.0,5476.501,3134.0342,642.2897,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
23.0,5990304.0,5532.2637,3222.792,659.0467,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
24.0,5990131.5,5589.1377,3309.0762,675.33154,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
25.0,5989961.0,5647.0293,3393.255,691.2074,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
26.0,5989791.5,5705.841,3475.7256,706.7352,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
27.0,5989622.5,5765.4653,3556.8389,721.974,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
28.0,5989454.5,5825.8203,3636.9268,736.9768,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
29.0,5989286.5,5886.8115,3716.2764,751.79553,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
30.0,5989118.5,5948.3555,3795.1523,766.46783,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
31.0,5988951.0,6010.3833,3873.7822,781.03656,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
32.0,5988783.0,6072.8364,3952.3525,795.5321,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
33.0,5988614.5,6135.6523,4031.0137,809.9809,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
34.0,5988446.0,6198.7856,4109.912,824.40393,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
35.0,5988276.5,6262.1987,4189.125,838.81903,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
36.0,5988107.0,6325.8594,4268.702,853.2377,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
37.0,5987937.0,6389.7427,4348.708,867.6706,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
38.0,5987766.5,6453.8237,4429.153,882.1201,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
39.0,5987595.5,6518.099,4510.029,896.58966,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
40.0,5987424.0,6582.555,4591.3403,911.0817,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
41.0,5987252.5,6647.188,4673.046,925.5916,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
42.0,5987080.5,6712.0083,4755.1313,940.11835,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
43.0,5986908.0,6777.018,4837.559,954.6591,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
44.0,5986735.0,6842.2344,4920.2866,969.20734,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
45.0,5986562.5,6907.6655,5003.277,983.7615,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
46.0,5986389.0,6973.34,5086.5,998.3159,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
47.0,5986216.0,7039.27,5169.93,1012.8671,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
48.0,5986042.5,7105.496,5253.535,1027.4099,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
49.0,5985868.5,7172.0444,5337.3096,1041.9443,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
50.0,5985695.0,7238.9487,5421.2354,1056.4673,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
51.0,5985520.5,7306.25,5505.318,1070.978,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
52.0,5985346.0,7373.994,5589.563,1085.477,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
53.0,5985171.0,7442.224,5673.9976,1099.9655,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
54.0,5984996.0,7510.9907,5758.6304,1114.4429,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
55.0,5984820.0,7580.3467,5843.5225,1128.915,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
56.0,5984643.5,7650.3564,5928.718,1143.3862,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
57.0,5984466.0,7721.075,6014.2744,1157.8618,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
58.0,5984288.0,7792.579,6100.252,1172.3467,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
59.0,5984109.0,7864.931,6186.7446,1186.8489,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
60.0,5983928.5,7938.212,6273.8374,1201.3762,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
61.0,5983746.5,8012.5,6361.617,1215.9386,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
62.0,5983563.0,8087.887,6450.2134,1230.5449,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757
