Llama-3.3-70B-Instruct;Meta-Llama-3.1-8B-Instruct;DeepSeek-V3.1
0.9464114832535886;0.8610169491525423;0.8933333333333333
0.9323943661971831;0.8695278969957081;0.9058823529411765
0.9058823529411765;0.8964285714285714;0.8610169491525423
0.8995515695067264;0.9428571428571428;0.8964285714285714
0.85;0.9878787878787878;0.9027027027027026
0.9090909090909091;0.7886792452830191;0.8782608695652174
0.9464114832535886;0.8195121951219513;0.9289719626168224
0.9289719626168224;0.9222222222222222;0.8995515695067264
0.9572815533980582;0.8713656387665197;0.9761194029850746
0.8724137931034481;0.8290322580645162;0.9839195979899498
0.9788944723618092;0.8782608695652174;0.9918781725888325
0.9027027027027026;0.8638297872340426;0.8964285714285714
0.9090909090909091;0.8473029045643155;0.8527196652719665
0.9123287671232876;0.8527196652719665;0.816600790513834
0.9090909090909091;0.8430493273542601;0.7571428571428576
0.8724137931034481;0.8911290322580645;0.8638297872340426
0.9090909090909091;0.8812227074235807;0.8753246753246753
0.8724137931034481;0.8743362831858407;0.7252525252525257
0.8117647058823532;0.6612377850162874;0.8753246753246753
0.8046511627906979;0.8446280991735537;0.8902654867256636
0.9090909090909091;0.754578754578755;
0.9090909090909091;0.8207792207792208;
0.9090909090909091;0.8812227074235807;
0.8724137931034481;0.8731707317073171;
;0.8367346938775511;
;0.8446280991735537;
;0.8902654867256636;
;0.7652173913043482;
