S,I,R,D
999.0,1.0,0.0,0.0
998.8972495699533,1.0511668556594773,0.05142928652773626,0.0001542878595832088
998.7892536710887,1.1049400891996375,0.10548977040041563,0.00031646931120124695
998.6757463811722,1.1614512305510405,0.16231544195083972,0.0004869463258525191
998.5564484633082,1.2208383317620664,0.22204706373854144,0.0006661411912156243
998.4310667420368,1.2832462655614212,0.2848324949170511,0.0008544974847511531
998.299293494971,1.3488270164767038,0.35082700752964224,0.0010524810225889267
998.1608056074394,1.4177400843313275,0.4201937270481235,0.0012605811811443705
998.0152639609546,1.490152774883764,0.49310395230469545,0.0014793118569140864
997.862312626362,1.5662405828997144,0.56973757800434,0.00170921273401302
997.7015780652129,1.6461875700524344,0.6502835141922315,0.0019508505425766946
997.5326682929239,1.7301867597491833,0.7349401269461988,0.002204820380838597
997.355172005669,1.8184405473328369,0.8239156998985073,0.002471747099695522
997.1686576600755,1.9111611307163385,0.9174289224409361,0.0027522867673228086
996.9726726088395,2.0085709169617587,1.0157093461603246,0.0030471280384809737
996.7667420369668,2.1109030133681403,1.118997955797769,0.003356993867393307
996.5503679125097,2.2184017131316485,1.227547731165145,0.003682643193495435
996.3230279713788,2.331322964886237,1.3416241911615205,0.0040248725734845624
996.0841746430143,2.44993486379589,1.4615059752640764,0.00438451792579223
995.8332338280132,2.5745182112612937,1.5874855042128357,0.004762456512638508
995.5696037635388,2.7053670254642133,1.7198696021904065,0.005159608806571219
995.2926537679266,2.842789111360385,1.8589801801724795,0.005576940540517439
995.0017229496834,2.9871066355263616,2.005154949940447,0.006015464849821341
994.6961188834031,3.1386567153201845,2.1587481568063724,0.006476244470419117
994.3751162447279,3.2977920236220934,2.320131337637102,0.0069603940129113065
994.0379553844539,3.4648814056289012,2.4896941275346673,0.0074690823826040025
993.6838408718684,3.6403105194467726,2.6678450734644086,0.008003535220393225
993.3119399802349,3.8244824754632116,2.8550125067815153,0.008565037520344546
992.9213811342353,4.01781850407899,3.0516454254094936,0.00915493627622848
992.511252313991,4.220758618358605,3.258214424377214,0.009774643273131642
992.0805994119302,4.433762294197897,3.4752126559042154,0.010425637967712644
991.6284245432627,4.6573091724776425,3.703156813818139,0.011109470441454418
991.1536843405403,4.891899724258484,3.942588170689142,0.011827764512067426
990.6552881851279,5.13805595186902,4.1940736420767655,0.012582220926230297
990.1320963988428,5.39632209436412,4.458206886134598,0.013374620658403795
989.5829184562899,5.667265297766623,4.7356094176903065,0.014206828253070921
989.0065111074434,5.95147630751837,5.026931789669216,0.015080795369007647
988.4015764923578,6.24957014336573,5.332854799876785,0.015998564399630353
987.7667602993088,6.562186726552763,5.6540907020323266,0.01696227210609698
987.1006498183248,6.889991536993533,5.991384491208048,0.017974153473624143
986.4017720364903,7.233676217202623,6.345515200704796,0.019036545602114388
985.6685917997185,7.5939591014929055,6.717297207166977,0.020151891621500932
984.899509856086,7.971585791227579,7.107581607862806,0.02132274482358842
984.0928610127462,8.367329620750402,7.5172575937221655,0.0225517727811665
983.2469123699498,8.781992036107292,7.947253832445505,0.02384176149733652
982.3598614499276,9.21640301148882,8.398539918826959,0.02519561975648088
981.4298345290912,9.671421291578405,8.872127795942506,0.02661638338782752
980.4548850497847,10.147934543713413,9.36907318694096,0.028107219560822887
979.4329919634582,10.64685951644844,9.89047708882677,0.029671431266480308
978.3620583910046,11.169141949944917,10.437487197458122,0.031312461592374365
977.2399103394939,11.715756407314107,11.011299355126507,0.03303389806537951
976.064295451172,12.287706040591596,11.61315903114281,0.034839477093428425
974.8328821756734,12.886022042592908,12.24436269365265,0.036733088080957946
973.543258977679,13.511763026278512,12.906259218387264,0.03871877765516178
972.1929337240654,14.166014240447977,13.600251281641642,0.04080075384492492
970.7793336017318,14.84988640879139,14.327796599677695,0.04298338979903309
969.2998050598102,15.564514491832343,15.090409220695324,0.04527122766208597
967.7516141226426,16.311056165714895,15.889660729453947,0.04766898218836183
966.1319473303987,17.090689872752996,16.727181253088876,0.050181543759266624
964.4379127260925,17.904612763714606,17.604660528606946,0.05281398158582083
962.6665414365852,18.754038229297006,18.52384878775436,0.05557154636326308
960.8147899558058,19.64019296899272,19.48655740299235,0.05845967220897704
958.8795425573209,20.564313877300656,20.49465958661852,0.061483978759855555
956.8576145275503,21.5276444079573,21.55009079211592,0.06465027237634775
954.7457561478066,22.531430457633327,22.654848848015895,0.06796454654404767
952.5406569776763,23.57691593755036,23.81099410246574,0.07143298230739721
950.2389511411117,24.665337765428994,25.02064914602119,0.07506194743806356
947.8372233934164,25.797920357669447,26.28599825415166,0.07885799476245497
945.3320157578157,26.975869635424832,27.609286746519718,0.08282786023955915
942.7198352377824,28.200366490874693,28.992819811907104,0.08697845943572131
939.9971623821364,29.472559684796153,30.43896104991762,0.09131688314975285
937.1604607302257,30.79355810192014,31.950130775527473,0.09585039232658243
934.2061872420217,32.16442262506232,33.52880372175064,0.10058641116525194
931.130803788147,33.58615726858315,35.17750642399785,0.10553251927199356
927.9307897265951,35.059699633584835,36.89881419722814,0.11069644259168442
924.60265522569,36.5859112432183,38.695347488625664,0.11608604246587699
921.1429560288465,38.16556684779128,40.56976781990237,0.12170930345970711
917.5483092707727,39.79934322846707,42.52477318121635,0.12757431954364906
913.815409685309,41.4878082130871,44.56309282313434,0.13368927846940304
909.9410478049529,43.23140827983242,46.687481470802126,0.1400624444124064
905.9221288002334,45.03045613151196,48.90071292946604,0.14670213878839813
901.7556913251829,46.88511880974399,51.205573145636016,0.15361671943690808
897.4389289691637,48.795404026470514,53.60485244702445,0.16081455734107336
892.9692114727446,50.76114726211794,56.10133725337716,0.1683040117601315
888.344105682923,52.78199961454983,58.69780129863107,0.1760934038958932
883.5613995477153,54.857413709644455,61.396995755373986,0.18419098726612196
878.6191245693719,56.98663141770242,64.20163909563844,0.19260491728691537
873.5155780268168,59.168672306395436,67.11440644744523,0.2013432193423357
868.2493481030708,61.40232048928402,70.13791765468082,0.2104137529640425
862.819335969447,63.686114326040325,73.27472552792857,0.21982417658378572
857.2247780685717,66.01833660971884,76.52730341147479,0.22958191023442437
851.4652701674336,68.39700421050162,79.89803152748208,0.23969409458244623
845.5407872470035,70.81986116676755,83.3891840341262,0.2501675521023786
839.4517039713421,73.28437219001042,87.00291509336714,0.2610087452801014
833.1988150183431,75.78771709644498,90.74124415275331,0.27222373245825987
826.7833508416467,78.32678863263592,94.60604239852154,0.2838181271955646
820.2069937346372,80.89819127142417,98.59901794011797,0.2957970538203539
813.4718917831665,83.49824217993034,102.72170093410067,0.30816510280230197
806.5806685579081,86.12297495201469,106.97543019947851,0.3209262905984355
799.536431800714,88.76814570733777,111.3613384765184,0.3340840154295552
792.3427787016516,91.42924177824302,115.88033850459145,0.34764101551377435
785.0037977938433,94.10149217795899,120.53311069610918,0.3615993320883275
777.524067388529,96.77988258926317,125.32008975294879,0.37596026925884635
769.9086507388057,99.45917201753919,130.24145288499992,0.3907243586549997
762.1630887333795,102.13391040556903,135.29710953245387,0.40589132859736154
754.2933860540298,104.79846304631009,140.48669082717834,0.421460072481535
746.3059957451259,107.44703460926682,145.80954102253946,0.43742862306761837
738.2078017500075,110.07369376207652,151.26471035684514,0.45379413107053534
730.0060939894151,112.672404242679,156.85094892114222,0.4705528467634265
721.7085425959042,115.23705542337396,162.56670187509633,0.4877001056252889
713.3231672847022,117.76149570592729,168.41010668930238,0.505230320067907
704.8583053776614,120.23956570993927,174.37899193658936,0.523136975809768
696.3225769943535,122.66513252483725,180.47087784726716,0.5414126335418015
687.7248454790622,125.03212688356707,186.68297870126682,0.5600489361038005
679.0741790914701,127.33457799024578,193.01220629938578,0.5790366188981574
670.3798077771265,129.56665026102763,199.45517643254794,0.598365529297644
661.6510814047025,131.7226777786421,206.00821616815077,0.6180246485044524
652.8974255387812,133.79719886180098,212.66737347898064,0.638002120436942
644.1282970603081,135.78498930039996,219.42842835422897,0.6582852850626871
635.3531410482427,137.6810932426271,226.28690499414756,0.6788607149824429
626.5813463067531,139.48085267926135,233.23808675372425,0.6997142602611731
617.8222035200885,141.1799343122288,240.27703107445913,0.7208310932233778
609.0848638758494,142.77435341871296,247.3985869446036,0.7421957608338113
600.3782996591324,144.26049548443746,254.5974126185742,0.763792237855723
591.7112671591883,145.6351342434558,261.8679946135151,0.7856039838405459
583.0922719590235,146.8954461363915,269.2046679008821,0.8076140037026468
574.5295362850138,148.03902287084523,276.6016359363317,0.8298049078089957
566.0309707719754,149.06387808703755,284.0529921644933,0.8521589764934803
557.6041473363333,149.9684534453824,291.55274099529805,0.8746582229858946
549.2562771661189,150.75161893478372,299.0948194407747,0.8972844583223245
540.9941909849696,151.41267106350486,306.6731185957381,0.9200193557872147
532.8243222900472,151.95132837610683,314.2815048193875,0.942844514458163
524.7526957928354,152.36772191844756,321.9138407664174,0.9657415222992527
516.7849161158015,152.66238599435687,329.5640058722246,0.9886920176166744
508.92616323608246,152.8362429292185,337.2259160864393,1.0116777482593184
501.1811887862177,152.89058756082545,344.89354302388483,1.034680629071655
493.55431429212274,152.82707050675359,352.5609324039116,1.0576827972117353
486.0494344573603,152.6476778817351,360.22222099791054,1.0806666629937323
478.67002249905215,152.35470931975607,367.87165322152686,1.1036149596645812
471.41913738620707,151.95075544938717,375.5035963752795,1.1265107891258392
464.2994317385149,151.43867620114816,383.1125543971452,1.149337663191436
457.313164944618,150.82157455303675,390.69318095946653,1.1720795428784
450.46221491142046,150.10277324571638,398.240290969953,1.1947208729098593
443.748091658399,149.2857908371743,405.7488708917512,1.2172466126752541
437.171954448012,148.37431515075585,413.21408813682143,1.2396422644104648
430.7346266914634,147.37218055756634,420.63129885440674,1.2618938965632207
424.4366132406005,146.28334392101533,427.99605467436083,1.2839881640230828
418.27811864166017,145.1118608217358,435.30410821196784,1.305912324635904
412.2590642228487,143.86186393927926,442.5514175851163,1.3276542527553494
406.3791067346128,142.537541180265,449.7341496362132,1.34920244890864
400.6376566383389,141.14311514047301,456.84868217466374,1.3705460465239916
395.03389569110266,139.68282412814702,463.89160536465596,1.3916748160939685
389.56679515976737,138.16090379808043,470.8597218765222,1.4125791656295672
384.23513314392363,136.5815703019772,477.75004641485424,1.4332501392445631
379.0375114893592,134.94900468229218,484.5598044151029,1.4536794132453092
373.9723725195335,133.26733847118177,491.286429720124,1.4738592891603723
369.0380148080189,131.54064056834147,497.92756193782577,1.4937826858134777
364.2326084580721,129.7729054788002,504.4810429343243,1.5134431288029733
359.5542096933623,127.96804290404891,510.9449126645946,1.5328347379937843
355.0007747708084,126.12986795521219,517.3174050588027,1.5519522151764082
350.57017315900447,124.26209283589009,523.5969431755784,1.5707908295267357
346.2601997393351,122.36832073047405,529.7821331307981,1.5893463993923946
342.06858655203314,120.45203948512236,535.8717586867838,1.6076152760603517
337.99301393242007,118.51661584965532,541.8647758902536,1.625594327670761
334.0311206613559,116.5652916742057,547.7603067442054,1.6432809202326166
330.1805125386348,114.6011824224606,553.5576321424769,1.6606728964274309
326.43877201506825,112.62727327320844,559.2561861532632,1.67776855845979
322.80346633552364,110.64641752973421,564.8555494862829,1.694566648458849
319.2721545160731,108.66133649291355,570.3554426630241,1.7110663279890719
315.8423934272424,106.67462035483616,575.7557190607389,1.7272671571822167
312.51174517152606,104.68872690162196,581.0563588503009,1.7431690765509025
