t,S,I,R,D,beta,gamma,mu,R0
53.0,5949943.0,0.88623047,12381.424,1666.6982,0.012438768,0.030006314,0.00012443252,0.41282642
54.0,5949943.0,0.87939453,12381.416,1666.6963,0.012449632,0.0300063,0.00012434024,0.41318843
55.0,5949943.0,0.8720703,12381.407,1666.6942,0.012460564,0.03000629,0.00012424856,0.41355267
56.0,5949943.0,0.86572266,12381.401,1666.6923,0.012471567,0.030006278,0.00012415745,0.4139192
57.0,5949943.0,0.86328125,12381.3955,1666.6903,0.01248264,0.030006267,0.00012406692,0.41428813
58.0,5949943.0,0.8544922,12381.388,1666.6884,0.012493783,0.030006256,0.00012397702,0.41465935
59.0,5949943.0,0.85009766,12381.381,1666.6865,0.012504999,0.030006245,0.0001238877,0.41503298
60.0,5949943.0,0.84472656,12381.375,1666.6843,0.012516284,0.030006234,0.00012379895,0.4154089
61.0,5949943.0,0.84033203,12381.371,1666.6825,0.012527642,0.030006222,0.00012371076,0.41578725
62.0,5949943.0,0.8330078,12381.364,1666.6807,0.012539071,0.030006211,0.00012362318,0.4161679
63.0,5949943.0,0.82714844,12381.36,1666.679,0.012550576,0.0300062,0.00012353614,0.41655114
64.0,5949943.0,0.8227539,12381.353,1666.677,0.012562155,0.030006189,0.00012344969,0.41693678
65.0,5949943.0,0.81689453,12381.347,1666.675,0.012573805,0.030006178,0.0001233638,0.4173248
66.0,5949943.0,0.8125,12381.34,1666.6733,0.012585532,0.030006167,0.00012327847,0.41771534
67.0,5949943.0,0.80566406,12381.335,1666.6715,0.0125973355,0.030006155,0.0001231937,0.41810846
68.0,5949943.0,0.80078125,12381.33,1666.6698,0.012609214,0.030006144,0.00012310946,0.418504
69.0,5949943.0,0.7963867,12381.326,1666.6681,0.012621169,0.030006133,0.0001230258,0.41890213
70.0,5949943.0,0.7919922,12381.319,1666.6664,0.0126332,0.030006124,0.0001229427,0.41930273
71.0,5949943.0,0.7866211,12381.316,1666.6647,0.01264531,0.030006113,0.00012286012,0.419706
72.0,5949943.0,0.7817383,12381.31,1666.663,0.012657499,0.030006101,0.0001227781,0.42011184
73.0,5949943.0,0.7763672,12381.305,1666.6614,0.012669766,0.030006092,0.00012269661,0.42052028
74.0,5949943.0,0.77246094,12381.301,1666.6597,0.012682113,0.03000608,0.00012261565,0.42093134
75.0,5949943.0,0.76708984,12381.297,1666.658,0.0126945395,0.03000607,0.00012253523,0.42134508
76.0,5949943.0,0.76171875,12381.293,1666.6565,0.012707046,0.03000606,0.00012245533,0.42176142
77.0,5949943.0,0.75683594,12381.288,1666.6549,0.012719636,0.03000605,0.00012237598,0.42218056
78.0,5949943.0,0.7524414,12381.283,1666.6534,0.0127323065,0.03000604,0.00012229713,0.42260236
79.0,5949943.5,0.74902344,12381.281,1666.652,0.01274506,0.030006029,0.00012221883,0.42302692
80.0,5949943.5,0.74365234,12381.277,1666.6503,0.012757897,0.03000602,0.00012214102,0.42345425
81.0,5949943.5,0.7397461,12381.271,1666.6489,0.012770819,0.03000601,0.00012206375,0.42388436
82.0,5949943.5,0.73535156,12381.269,1666.6475,0.012783824,0.030005999,0.000121986974,0.42431724
83.0,5949943.5,0.73046875,12381.268,1666.6461,0.012796916,0.03000599,0.00012191069,0.424753
84.0,5949943.5,0.72509766,12381.263,1666.6445,0.0128100915,0.03000598,0.00012183494,0.42519152
85.0,5949943.5,0.72021484,12381.258,1666.6432,0.0128233535,0.03000597,0.00012175969,0.42563292
86.0,5949943.5,0.7163086,12381.256,1666.6417,0.012836705,0.03000596,0.00012168494,0.42607728
87.0,5949943.5,0.71191406,12381.253,1666.6405,0.012850144,0.03000595,0.0001216107,0.42652455
88.0,5949943.5,0.70703125,12381.25,1666.639,0.01286367,0.030005941,0.00012153691,0.42697465
89.0,5949943.5,0.7026367,12381.248,1666.6378,0.012877285,0.03000593,0.00012146364,0.42742777
90.0,5949943.5,0.69873047,12381.245,1666.6365,0.012890991,0.03000592,0.000121390876,0.4278839
91.0,5949943.5,0.6958008,12381.242,1666.6354,0.0129047865,0.030005911,0.00012131859,0.42834297
92.0,5949943.5,0.69091797,12381.239,1666.6342,0.012918675,0.030005902,0.000121246754,0.4288051
93.0,5949943.5,0.68603516,12381.237,1666.633,0.012932656,0.030005893,0.00012117544,0.42927033
94.0,5949943.5,0.68066406,12381.234,1666.632,0.012946726,0.030005883,0.000121104575,0.42973846
95.0,5949943.5,0.6777344,12381.232,1666.6307,0.012960891,0.030005874,0.00012103419,0.4302098
96.0,5949943.5,0.671875,12381.23,1666.6295,0.012975151,0.030005865,0.00012096429,0.43068424
97.0,5949943.5,0.6689453,12381.229,1666.6285,0.012989505,0.030005855,0.00012089484,0.43116185
98.0,5949943.5,0.6635742,12381.228,1666.6274,0.013003955,0.030005846,0.000120825884,0.4316426
99.0,5949943.5,0.6591797,12381.226,1666.6265,0.0130185,0.030005837,0.00012075737,0.43212652
100.0,5949943.5,0.65527344,12381.224,1666.6255,0.013033144,0.03000583,0.00012068932,0.43261367
101.0,5949943.5,0.6513672,12381.222,1666.6244,0.013047885,0.03000582,0.00012062173,0.4331041
102.0,5949943.5,0.6464844,12381.221,1666.6234,0.013062725,0.03000581,0.00012055459,0.43359777
103.0,5949943.5,0.64160156,12381.219,1666.6226,0.013077663,0.030005801,0.00012048791,0.43409473
104.0,5949943.5,0.63720703,12381.218,1666.6217,0.013092702,0.030005792,0.0001204217,0.43459502
105.0,5949943.5,0.6333008,12381.217,1666.6208,0.013107842,0.030005785,0.00012035593,0.4350986
106.0,5949943.5,0.62939453,12381.215,1666.6199,0.013123084,0.030005775,0.000120290584,0.43560562
107.0,5949943.5,0.6254883,12381.214,1666.6191,0.013138428,0.030005766,0.00012022568,0.43611604
108.0,5949943.5,0.6191406,12381.214,1666.6184,0.013153873,0.030005759,0.00012016125,0.43662977
109.0,5949943.5,0.61621094,12381.213,1666.6176,0.0131694265,0.03000575,0.00012009723,0.43714708
110.0,5949943.5,0.6123047,12381.212,1666.6168,0.013185082,0.030005742,0.00012003364,0.4376678
