t,S,I,R,D,beta_const,gamma_const,mu_const,R0_const
0.0,5995429.5,4287.273,243.74414,40.547974,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
1.0,5994552.0,4650.3105,766.2871,100.8396,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
2.0,5994388.5,4643.47,875.91504,145.0028,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
3.0,5994220.0,4684.167,986.50195,176.52454,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
4.0,5994032.5,4729.405,1106.7612,207.38196,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
5.0,5993831.5,4777.1694,1234.1069,237.79749,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
6.0,5993623.5,4829.1533,1363.3755,266.4041,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
7.0,5993411.0,4884.654,1493.7676,293.8152,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
8.0,5993193.5,4942.56,1625.1328,320.76886,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
9.0,5992973.5,5002.014,1756.5098,347.54462,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
10.0,5992754.0,5062.411,1886.6523,374.14642,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
11.0,5992535.5,5123.312,2014.565,400.50787,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
12.0,5992320.5,5184.4033,2139.6392,426.56445,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
13.0,5992109.0,5245.4697,2261.5532,452.25677,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
14.0,5991901.0,5306.383,2380.1567,477.5224,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
15.0,5991697.5,5367.087,2495.3784,502.2887,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
16.0,5991498.0,5427.578,2607.1846,526.4786,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
17.0,5991302.5,5487.895,2715.5713,550.0154,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
18.0,5991111.0,5548.0938,2820.5562,572.8321,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
19.0,5990923.5,5608.256,2922.1992,594.87775,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
20.0,5990739.5,5668.462,3020.6,616.11865,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
21.0,5990559.0,5728.802,3115.8906,636.5393,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
22.0,5990382.0,5789.3623,3208.2383,656.1388,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
23.0,5990208.0,5850.229,3297.8555,674.9362,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
24.0,5990036.5,5911.4844,3384.9602,692.9599,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
25.0,5989867.5,5973.205,3469.7957,710.24854,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
26.0,5989700.5,6035.463,3552.6172,726.8483,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
27.0,5989535.5,6098.3203,3633.6729,742.8097,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
28.0,5989371.5,6161.838,3713.2163,758.18726,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
29.0,5989208.5,6226.0625,3791.4927,773.0347,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
30.0,5989046.0,6291.036,3868.7292,787.406,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
31.0,5988884.0,6356.796,3945.15,801.3557,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
32.0,5988722.5,6423.366,4020.958,814.9335,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
33.0,5988561.0,6490.7676,4096.346,828.19055,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
34.0,5988399.0,6559.0127,4171.4824,841.17163,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
35.0,5988236.5,6628.107,4246.54,853.9223,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
36.0,5988073.0,6698.05,4321.6504,866.4828,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
37.0,5987909.5,6768.836,4396.9473,878.8915,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
38.0,5987744.5,6840.4546,4472.549,891.18445,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
39.0,5987579.0,6912.8896,4548.5576,903.3945,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
40.0,5987412.0,6986.122,4625.0615,915.5526,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
41.0,5987244.0,7060.1255,4702.1416,927.6861,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
42.0,5987075.0,7134.878,4779.864,939.82117,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
43.0,5986904.5,7210.3486,4858.289,951.9813,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
44.0,5986732.5,7286.504,4937.465,964.18835,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
45.0,5986559.5,7363.314,5017.4355,976.46295,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
46.0,5986385.5,7440.7456,5098.2295,988.8216,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
47.0,5986209.5,7518.7617,5179.8857,1001.28296,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
48.0,5986033.0,7597.33,5262.4155,1013.8604,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
49.0,5985855.0,7676.414,5345.838,1026.5682,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
50.0,5985675.5,7755.983,5430.1675,1039.4183,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
51.0,5985495.0,7835.9995,5515.413,1052.4227,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
52.0,5985313.0,7916.4326,5601.5786,1065.591,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
53.0,5985130.0,7997.2554,5688.672,1078.9329,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
54.0,5984946.0,8078.4355,5776.6904,1092.4562,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
55.0,5984760.5,8159.95,5865.641,1106.1693,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
56.0,5984574.5,8241.776,5955.523,1120.079,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
57.0,5984387.0,8323.893,6046.341,1134.192,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
58.0,5984198.5,8406.286,6138.098,1148.5137,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
59.0,5984009.0,8488.943,6230.7954,1163.0496,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
60.0,5983818.0,8571.861,6324.4526,1177.8063,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
61.0,5983626.5,8655.039,6419.0757,1192.7881,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
62.0,5983433.5,8738.483,6514.68,1207.9991,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
63.0,5983239.5,8822.208,6611.291,1223.445,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
64.0,5983044.0,8906.237,6708.935,1239.1298,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
65.0,5982847.5,8990.602,6807.6445,1255.057,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333
