train_size,test_size,model1_I_RMSE,model1_I_MAE,model1_D_RMSE,model1_D_MAE,model1_beta,model1_gamma,model1_mu,model1_R0,model2_I_RMSE,model2_I_MAE,model2_D_RMSE,model2_D_MAE,model2_beta_mean,model2_gamma_mean,model2_mu_mean,model2_R0_mean,model1_test_I_RMSE,model1_test_D_RMSE,model2_test_I_RMSE,model2_test_D_RMSE
120,249,36702.17257874525,23545.357421875,2340.1575801642075,1721.267333984375,0.02839497310909761,0.020489669256218812,0.005682750970543604,1.084919654471333,45790.92521450074,34599.27734375,7301.296323256576,5665.115234375,0.030483602,0.030187353,0.0002192709,1.0024592,44678.616988443144,2848.7483216318005,55314.797730806175,8877.362220840152
150,219,26116.67237608957,15264.2734375,12846.113809242077,8980.7216796875,0.047700329783105566,0.037019755710347824,0.006990957036754675,1.0838345213176757,45969.91015871143,34838.37890625,6998.4206789817945,5427.111328125,0.015878519,0.030005507,0.00011808873,0.5271293,33881.855911387145,16674.8481252454,57909.86651685531,9043.61255251462
180,189,10077.174207088017,6240.4267578125,10090.034687750087,6626.56787109375,0.05070786324546228,0.04077257106385335,0.0049423764989228736,1.1092184493010682,45969.67905043497,34838.12890625,6572.654562655792,5149.48681640625,0.0117640225,0.030162098,0.00020272666,0.3873994,13915.325077050842,14098.307416140422,55165.41989326284,9037.918786977454
200,169,30387.847044501195,19873.638671875,8736.74905213604,5188.8603515625,0.04253518254503924,0.03397800848647975,0.002941466826426986,1.1521069079269743,45971.834159624304,34842.9921875,6253.085958148984,4975.19580078125,0.019506056,0.030039594,0.0001483779,0.64606005,44834.06704728002,12909.458857752326,47271.74750313341,8937.910717835573
220,149,30052.26274342749,19944.58984375,4702.136960999754,2667.961669921875,0.03910177973441348,0.03194778790071201,0.0023158372111803383,1.1412038161963745,45971.933002648475,34843.25390625,5939.5033462403235,4822.1728515625,0.020334128,0.030079661,0.00014712205,0.67271864,47146.31251752358,7398.539044973676,36448.038630357056,8789.791806408159
